[i]
laŋ55	囗(织～衫：织毛衣)
laŋ35	冷
ʧaŋ55	争
ʧhaŋ55	撑铛(烙饼用具)
ʧhaŋ24	橙
ʧhaŋ33	牚
ʃaŋ55	生甥
ʃaŋ35	省(节～)
kaŋ55	耕
khaŋ55	筐
ŋaŋ21	硬
haŋ55	坑
haŋ33	埯囗(爷～：老头子)
Øaŋ55	罂(豉油～：酱油壶  原文有音无字)


[uaŋ]
khuaŋ35	梗
Øuaŋ21	横(～直)


[ɐŋ]
pɐŋ55	崩
phɐŋ55	烹
phɐŋ21	朋凭蓬
mɐŋ55	掹(～秧，拔  原文有音无字)囗(～油：花油)
mɐŋ21	萌盟
tɐŋ55	灯
tɐŋ35	等
tɐŋ33	凳
tɐŋ22	邓
thɐŋ21	藤
nɐŋ35	囗(必)
nɐŋ21	能
lɐŋ55	囗(在皮肤上抓出的痕迹)
ʧɐŋ55	增僧
ʧɐŋ22	赠
ʧhɐŋ55	曾(～经)层
ʧhɐŋ22	澄
ʃɐŋ55	囗(甩的意思)
kɐŋ55	更(1～换；2五～)粳庚
kɐŋ33	更(～加)
khɐŋ35	哽
hɐŋ55	敲亨囗(用指关节敲)囗(甩的意思)
hɐŋ21	行(～列)恒行(～为)杏行(品～)幸
hɐŋ35	肯


[ɛŋ]
pɛŋ55	饼
pɛŋ22	病
phɛŋ55	拼
phɛŋ21	平评
mɛŋ21	明名
mɛŋ22	命
tɛŋ55	钉(铁～)
tɛŋ33	订
thɛŋ55	听厅
thɛŋ35	艇
nɛŋ55	囗(～笔：握的意思)
lɛŋ21	灵
lɛŋ24	领岭
ɬɛŋ35	醒
ʧɛŋ55	精清
ʧɛŋ35	井
ʧhɛŋ55	青
ʃɛŋ55	声
kɛŋ35	颈
kɛŋ33	劲(有～)镜竞
hɛŋ55	轻(～重)


[iɛŋ]
Øiɛŋ21	迎


[ɔŋ]
pɔŋ55	帮邦
pɔŋ35	榜绑
pɔŋ22	谤棒
phɔŋ21	滂旁傍
mɔŋ55	芒
mɔŋ21	忙亡忘望
mɔŋ35	网
mɔŋ24	莽蟒
fɔŋ55	荒谎方芳
fɔŋ21	妨房防
fɔŋ35	晃仿(～效)纺仿(相似)访
fɔŋ33	放
tɔŋ55	当(～时)
tɔŋ35	党
tɔŋ33	当(～作)荡宕
thɔŋ55	汤
thɔŋ21	唐糖塘
thɔŋ35	躺
thɔŋ33	趟
nɔŋ55	𧟘(裤～：裤裆  原文有音无字)
nɔŋ21	囊瓤
nɔŋ24	仰
nɔŋ33	囗(交配的意思 狗na33～)
lɔŋ21	廊浪
lɔŋ35	郎朗
ɬɔŋ55	桑霜
ɬɔŋ35	磉爽
ʧɔŋ55	脏装
ʧɔŋ21	撞
ʧɔŋ33	葬壮
ʧɔŋ22	状
ʧhɔŋ55	仓疮窗
ʧhɔŋ21	藏(隐～)床
ʧhɔŋ35	闯厂
ʧhɔŋ33	创
ʧhɔŋ22	藏(西～)
kɔŋ55	冈岗纲缸光江
kɔŋ35	讲港
kɔŋ24	广
kɔŋ33	钢杠降
khɔŋ21	狂扛
khɔŋ33	抗旷扩况矿
ŋɔŋ35	昂
hɔŋ55	康糠慷
hɔŋ21	杭虹囗(～鸡：未下蛋的小鸡)
hɔŋ35	吼项巷


[uɔŋ]
Øuɔŋ55	汪(一汪水)
Øuɔŋ21	黄皇王旺降(投～)
Øuɔŋ35	枉往


[eŋ]
peŋ55	冰兵
peŋ35	丙
peŋ33	并(合～)
pheŋ21	瓶屏(围～)萍
pheŋ33	聘并(～行～讲)
meŋ21	铭
meŋ22	命
feŋ24	囗(～phɛu55：戴高帽子)
teŋ21	定
teŋ35	顶
theŋ21	停庭
neŋ21	宁
leŋ21	凌令灵零
leŋ24	领
leŋ22	另
ɬeŋ55	姓星
ʧeŋ55	征蒸精睛清贞侦正(～月)征
ʧeŋ21	晴
ʧeŋ35	整
ʧeŋ33	证剩正(公～)政
ʧeŋ22	澄静净郑
ʧheŋ55	称(～呼)青
ʧheŋ21	惩情程
ʧheŋ35	请
ʧheŋ33	秤(一杆秤)
ʃeŋ55	升
ʃeŋ21	乘绳承成城盛(兴～)
ʃeŋ33	胜胜(～败)圣
ʃeŋ22	剩
keŋ55	惊经
keŋ35	境景
keŋ33	敬劲(～敌)径
kheŋ55	倾
kheŋ21	擎琼
ŋeŋ21	凝
heŋ55	兴(～旺)卿馨兄
heŋ33	兴(高～)庆


[ieŋ]
Øieŋ55	蝇
Øieŋ21	赢形营萤
Øieŋ35	颖
Øieŋ33	应(1～当；2～用)应(～付)


[ueŋ]
Øueŋ35	永


[œŋ]
nœŋ21	娘
lœŋ21	凉量(～长短)亮谅量(数～)
lœŋ35	两(～个)两(几～：几钱)
lœŋ22	酿粮
ɬœŋ55	相(互～)箱镶
ɬœŋ35	想
ɬœŋ33	相(～貌)
ʧœŋ55	浆张章
ʧœŋ35	蒋奖长(生～)掌
ʧœŋ33	酱将(大～)涨账胀仗障(保～)
ʧœŋ22	匠象(大～)丈
ʧhœŋ55	枪昌腔
ʧhœŋ21	墙详长(长～)肠
ʧhœŋ35	抢
ʧhœŋ24	场
ʧhœŋ33	畅唱
ʃœŋ55	商伤双
ʃœŋ21	常尝上(～面)
ʃœŋ35	赏尚
ʃœŋ24	上(～山)
kœŋ55	姜
khœŋ55	疆
khœŋ21	强(1～强；2倔～)
khœŋ35	强(1～强；2倔～)
khœŋ22	强(1～强；2倔～)
hœŋ55	香乡
hœŋ35	享响
hœŋ33	向


[iœŋ]
Øiœŋ55	秧
Øiœŋ21	羊扬疡
Øiœŋ24	养样
Øiœŋ22	让


[iŋ]
Øiŋ55	应(1～当；2～用)英
Øiŋ35	影映


[uŋ]
phuŋ35	捧
muŋ55	囗(拔的意思 ～秧)
muŋ21	蒙梦
muŋ35	懵
fuŋ55	风丰封锋
fuŋ21	冯凤逢
fuŋ35	讽
fuŋ22	奉
tuŋ55	东冬
tuŋ21	栋
tuŋ35	懂
tuŋ33	冻
tuŋ22	动洞
thuŋ55	通
thuŋ21	同童
thuŋ35	桶统
thuŋ33	痛
nuŋ55	齈
nuŋ21	农浓
luŋ21	聋弄隆龙
luŋ35	笼拢垄
ɬuŋ55	松(～木)嵩松(轻～)
ɬuŋ21	怂
ɬuŋ33	送宋
ʧuŋ55	椶宗综中(当～)终踪钟
ʧuŋ21	纵诵囗(还)颂
ʧuŋ35	总种(～类)肿
ʧuŋ33	粽中(射～)众种(～树)
ʧuŋ22	仲
ʧhuŋ55	聪葱充冲
ʧhuŋ21	丛虫崇从(跟～)重(～复)
ʧhuŋ35	宠
ʧhuŋ24	重(轻～)
ʧhuŋ33	铳
kuŋ55	公工宫恭供(～给)
kuŋ35	巩
kuŋ33	贡汞共囗(爬的意思)
khuŋ21	穷
khuŋ35	孔恐
huŋ55	轰空(～虚)空(～缺)胸凶(吉～)
huŋ21	弘宏红洪雄
huŋ35	孔恐
huŋ33	控
Øuŋ55	翁


