ID	TRAD	SIMP	IPA_S	IPA_T	JYUTPING	SOUR	EXPL	NOTE
2470	腳	脚	kœk3	kœk3	goek3	P116		
2471	卻	却	kʰœk3	kʰœk3	koek3	P116		
2472	覺	觉	kʰœk3	kʰœk3	koek3	P116	知覺	
2473	噦	哕	∅œt2	∅œt2	oet6	P116	乾噦	原文誤作[∅œk2]
2474	入	入	∅iɐp2	jɐp2	jap6	P116		
2475	割	割	kɔt3	kɔt3	got3	P116		
2476	喝	喝	hɔt3	hɔt3	hot3	P116	喝酒	
2477	渴	渴	hɔt3	hɔt3	hot3	P116		
2478	豁	豁	hɔk3	hɔk3	hok3	P116	豁然	原文誤作[hɔt2]
2479	劇	剧	kʰɛk2	kʰɛk2	kek6	P116	戲劇	原文誤作[khek2]
2480	博	博	pɔk3	pɔk3	bok3	P116		
2481	縛	缚	pɔk3	pɔk3	bok3	P116		
2482	剝	剥	pɔk3	pɔk3	bok3	P116		
2483	薄	薄	pɔk2	pɔk2	bok6	P116		
2484	卜	卜	pʰuk5	pʰʊk5	puk1	P116		原文誤作[phɔk5]
2485	朴	朴	pʰɔk3	pʰɔk3	pok3	P116		
2486	樸	朴	pʰɔk3	pʰɔk3	pok3	P116		
2487	撲	扑	pʰɔk3	pʰɔk3	pok3	P116		
2488	僕	仆	pʰuk2	pʰʊk2	puk6	P116		原文誤作[phɔk2]
2489	莫	莫	mɔk2	mɔk2	mok6	P116	約～	
2490	膜	膜	mɔk2	mɔk2	mok6	P116		
2491	幕	幕	mɔk2	mɔk2	mok6	P116		
2492	寞	寞	mɔk2	mɔk2	mok6	P116		
2493	陌	陌	mɐk2	mɐk2	mak6	P116		原文誤作[mɔk2]
2494	戳	戳	tʃʰɔk3	tʃʰɔk3	cok3	P116		原文誤作[tɔk3]
2495	鐸	铎	tɔk2	tɔk2	dok6	P116		
2496	託	托	tʰɔk3	tʰɔk3	tok3	P116		
2497	托	托	tʰɔk3	tʰɔk3	tok3	P116		
2498	諾	诺	nɔk3	nɔk3	nok3	P116		
2499	洛	洛	lɔk3	lɔk3	lok3	P116		
2500	落	落	lɔk2	lɔk2	lok6	P116		
2501	樂	乐	lɔk2	lɔk2	lok6	P116		
2502	塑	塑	ɬɔk3	ɬɔk3	slok3	P116		
2503	索	索	ɬɔk3	ɬɔk3	slok3	P116		
2504	朔	朔	ɬɔk3	ɬɔk3	slok3	P116		
2505	作	作	tʃɔk3	tʃɔk3	zok3	P116		
2506	鑿	凿	tʃɔk2	tʃɔk2	zok6	P116		
2507	綽	绰	tʃʰɔk3	tʃʰɔk3	cok3	P116		
2508	角	角	kɔk3	kɔk3	gok3	P116		
2509	國	国	kɔk3	kɔk3	gok3	P116		
2510	各	各	kɔk2	kɔk2	gok6	P116		
2511	郭	郭	kʰɔk3	kʰɔk3	kok3	P116		
2512	廓	廓	kʰɔk3	kʰɔk3	kok3	P116		
2513	藿	藿	kʰɔk3	kʰɔk3	kok3	P116		
2514	確	确	kʰɔk3	kʰɔk3	kok3	P116		原文誤作[khɔk2]
2515	鄂	鄂	ŋɔk2	ŋɔk2	ngok6	P116		
2516	嶽	岳	ŋɔk2	ŋɔk2	ngok6	P116		
2517	岳	岳	ŋɔk2	ŋɔk2	ngok6	P116		
2518	哭	哭	huk5	hʊk5	huk1	P116		原文誤作[hɔk5]
2519	囗(hok1)	囗(hok1)	hɔk5	hɔk5	hok1	P116	滅	原文有音無字
2520	殼	壳	hɔk3	hɔk3	hok3	P116		
2521	鶴	鹤	hɔk2	hɔk2	hok6	P116		
2522	學	学	hɔk2	hɔk2	hok6	P116		
2523	屋	屋	∅uk5	∅ʊk5	uk1	P116		原文誤作[hɔk5]
2524	惡	恶	∅ɔk3	∅ɔk3	ok3	P116		
2525	鱉	鳖	pit3	pit3	bit3	P117		
2526	鼈	鳖	pit3	pit3	bit3	P117		
2527	別	别	pit2	pit2	bit6	P117	區～；離～	
2528	撇	撇	pʰit3	pʰit3	pit3	P117		
2529	匿	匿	nek2	nek2	nik6	P117		原文誤作[mit2]
2530	滅	灭	mit2	mit2	mit6	P117		
2531	跌	跌	tit3	tit3	dit3	P117		原文誤作[tit2]
2532	鐵	铁	tʰit3	tʰit3	tit3	P117		
2533	列	列	lit2	lit2	lit6	P117		原文誤作[lit3]
2534	裂	裂	lit2	lit2	lit6	P117		原文誤作[lit3]
2535	劣	劣	lit2	lit2	lit6	P117		
2536	哲	哲	tʃit3	tʃit3	zit3	P117		
2537	折	折	tʃit3	tʃit3	zit3	P117	～斷	
2538	浙	浙	tʃit3	tʃit3	zit3	P117		
2539	節	节	tʃit3	tʃit3	zit3	P117		
2540	捷	捷	tʃit2	tʃit2	zit6	P117		
2541	折	折	ʃit2	ʃit2	sit6	P117	弄～了	原文誤作[tʃit2]
2542	截	截	tʃit2	tʃit2	zit6	P117		
2543	絕	绝	tʃit2	tʃit2	zit6	P117		
2544	撤	撤	tʃʰit3	tʃʰit3	cit3	P117		
2545	設	设	tʃʰit3	tʃʰit3	cit3	P117		
2546	妾	妾	tʃʰip3	tʃʰip3	cip3	P117		原文誤作[tʃhit2]
2547	切	切	tʃʰit3	tʃʰit3	cit3	P117		原文誤作[tʃhit2]
2548	舌	舌	ʃit2	ʃit2	sit6	P117		
2549	傑	杰	kit2	kit2	git6	P117		
2550	杰	杰	kit2	kit2	git6	P117		
2551	結	结	kit3	kit3	git3	P117		原文誤作[kit2]
2552	揭	揭	kʰit3	kʰit3	kit3	P117		
2553	乙	乙	∅it3	jit3	jit3	P117		
2554	熱	热	∅it2	jit2	jit6	P117		
2555	木	木	muk2	mʊk2	muk6	P117		
2556	目	目	muk2	mʊk2	muk6	P117		
2557	督	督	tuk5	tʊk5	duk1	P117		
2558	獨	独	tuk2	tʊk2	duk6	P117		
