ID	TRAD	SIMP	IPA_S	IPA_T	JYUTPING	SOUR	EXPL	NOTE
1643	恨	恨	hɐn22	hɐn22	han6	P113		原文誤作[hɐn21]
1644	很	很	hɐn35	hɐn35	han2	P113		
1645	恩	恩	∅ɐn55	∅ɐn55	an1	P113		
1646	因	因	∅iɐn55	jɐn55	jan1	P113	～爲	
1647	姻	姻	∅iɐn55	jɐn55	jan1	P113		
1648	人	人	∅iɐn21	jɐn21	jan4	P113		
1649	仁	仁	∅iɐn21	jɐn21	jan4	P113		
1650	認	认	∅iɐn22	jɐn22	jan6	P113		原文誤作[∅iɐn21]
1651	寅	寅	∅iɐn21	jɐn21	jan4	P113		
1652	忍	忍	∅iɐn24	jɐn24	jan5	P113		
1653	引	引	∅iɐn24	jɐn24	jan5	P113		
1654	隱	隐	∅iɐn24	jɐn24	jan5	P113		
1655	印	印	∅iɐn33	jɐn33	jan3	P113		
1656	孕	孕	∅iɐn22	jɐn22	jan6	P113		
1657	墩	墩	tɐn55	tɐn55	dan1	P113		原文作[tuɐn55]
1658	頓	顿	tɐn22	tɐn22	dan6	P113		原文作[tuɐn22]
1659	臀	臀	tʰɐn21	tʰɐn21	tan4	P113		原文作[thuɐn21]
1660	屯	屯	tʰɐn21	tʰɐn21	tan4	P113		原文誤作[thuɐn33]
1661	倫	伦	lɐn21	lɐn21	lan4	P113		原文作[luɐn21]
1662	準	准	tʃɐn35	tʃɐn35	zan2	P113		原文作[tʃuɐn35]
1663	准	准	tʃɐn35	tʃɐn35	zan2	P113		原文作[tʃuɐn35]
1664	春	春	tʃʰɐn55	tʃʰɐn55	can1	P113		原文作[tʃhuɐn55]
1665	蠢	蠢	tʃʰɐn35	tʃʰɐn35	can2	P113		原文作[tʃhuɐn35]
1666	荀	荀	ʃɐn21	ʃɐn21	san4	P113		原文作[ʃuɐn21]
1667	旬	旬	ʃɐn21	ʃɐn21	san4	P113		原文作[ʃuɐn21]
1668	巡	巡	ʃɐn21	ʃɐn21	san4	P113		原文作[ʃuɐn21]
1669	脣	唇	ʃɐn21	ʃɐn21	san4	P113		原文作[ʃuɐn21]
1670	唇	唇	ʃɐn21	ʃɐn21	san4	P113		原文作[ʃuɐn21]
1671	順	顺	ʃɐn22	ʃɐn22	san6	P113		原文誤作[ʃuɐn21]
1672	舜	舜	ʃɐn22	ʃɐn22	san6	P113		原文誤作[ʃuɐn21]
1673	純	纯	ʃɐn21	ʃɐn21	san4	P113		原文作[ʃuɐn21]
1674	軍	军	kuɐn55	kʷɐn55	gwan1	P113		
1675	滾	滚	kuɐn35	kʷɐn35	gwan2	P113		
1676	棍	棍	kuɐn33	kʷɐn33	gwan3	P113		
1677	昆	昆	kʰuɐn55	kʷʰɐn55	kwan1	P113		
1678	崑	昆	kʰuɐn55	kʷʰɐn55	kwan1	P113		
1679	坤	坤	kʰuɐn55	kʷʰɐn55	kwan1	P113		
1680	均	均	kʰuɐn55	kʷʰɐn55	kwan1	P113		
1681	郡	郡	kʰuɐn55	kʷʰɐn55	kwan1	P113		原文作[khuɐn55]
1682	羣	群	kʰuɐn21	kʷʰɐn21	kwan4	P113		
1683	群	群	kʰuɐn21	kʷʰɐn21	kwan4	P113		
1684	捆	捆	kʰuɐn35	kʷʰɐn35	kwan2	P113		
1685	綑	捆	kʰuɐn35	kʷʰɐn35	kwan2	P113		文作「捆」字
1686	菌	菌	kʰuɐn24	kʷʰɐn24	kwan5	P113		
1687	困	困	kʰuɐn33	kʷʰɐn33	kwan3	P113		
1688	溫	温	∅uɐn55	wɐn55	wan1	P113		
1689	瘟	瘟	∅uɐn55	wɐn55	wan1	P113		
1690	葷	荤	∅uɐn55	wɐn55	wan1	P113		
1691	魂	魂	∅uɐn21	wɐn21	wan4	P113		
1692	餛	馄	∅uɐn21	wɐn21	wan4	P113		
1693	混	混	∅uɐn22	wɐn22	wan6	P113		原文誤作[∅uɐn21]
1694	勻	匀	∅uɐn21	wɐn21	wan4	P113		
1695	雲	云	∅uɐn21	wɐn21	wan4	P113		
1696	云	云	∅uɐn21	wɐn21	wan4	P113		
1697	韻	韵	∅uɐn22	wɐn22	wan6	P113		原文誤作[∅uɐn21]
1698	運	运	∅uɐn22	wɐn22	wan6	P113		原文誤作[∅uɐn21]
1699	暈	晕	∅uɐn21	wɐn21	wan4	P113		
1700	穩	稳	∅uɐn35	wɐn35	wan2	P113		
1701	尹	尹	∅uɐn35	wɐn35	wan2	P113		
1702	閏	闰	∅iɐn22	jɐn22	jan6	P113		原文誤作[∅uɐn22]
1703	肝	肝	kɔn55	kɔn55	gon1	P113		
1704	干	干	kɔn55	kɔn55	gon1	P113		
