序号	聲韻	聲調	字元	字數
1200	ʦʰim 	陰平55	遷, 簽, 箋, 籤, 殲	5
1201	ʦʰim 	陽平21	潛	1
1202	ʦʰan 	陰平55	餐	1
1203	ʦʰan 	陽平21	蠶, 殘, 慚, 讒, 饞	5
1204	ʦʰan 	陰上35	產, 闡, 鏟	3
1205	ʦʰan 	陰去33	燦	1
1206	ʦʰɐn 	陰平55	春, 親	2
1207	ʦʰɐn 	陽平21	臣, 陳, 秦, 塵	4
1208	ʦʰɐn 	陰上35	蠢	1
1209	ʦʰɐn 	陰去33	趁, 親, 襯	3
1210	ʦʰɛn 	陰上35	鏟	1
1211	ʦʰin 	陰平55	千	1
1212	ʦʰin 	陽平21	前, 錢	2
1213	ʦʰin 	陰上35	淺	1
1214	ʦʰyn 	陰平55	穿, 春, 川, 村	4
1215	ʦʰyn 	陽平21	全, 存, 傳, 泉	4
1216	ʦʰyn 	陰上35	蠢, 喘	2
1217	ʦʰyn 	陰去33	竄, 串, 寸, 釧, 篡	5
1218	ʦʰaŋ 	陰平55	撐	1
1219	ʦʰaŋ 	陰上35	橙	1
1220	ʦʰaŋ 	陰去33	牚	1
1221	ʦʰɐŋ 	陽平21	層, 曾	2
1222	ʦʰɔŋ 	陰平55	瘡, 窗, 倉, 蒼, 滄, 艙	6
1223	ʦʰɔŋ 	陽平21	藏, 牀	2
1224	ʦʰɔŋ 	陰上35	廠, 闖, 敞	3
1225	ʦʰɔŋ 	陰去33	創	1
1226	ʦʰɛŋ 	陰平55	青, 清	2
1227	ʦʰeŋ 	陰平55	清, 稱, 青	3
1228	ʦʰeŋ 	陽平21	程, 埕, 呈, 情, 晴	5
1229	ʦʰeŋ 	陰上35	請	1
1230	ʦʰeŋ 	陰去33	秤	1
1231	ʦʰuŋ 	陰平55	囪, 充, 葱, 舂, 怱, 衝, 聰	7
1232	ʦʰuŋ 	陽平21	松, 重, 從, 蟲, 叢, 崇	6
1233	ʦʰuŋ 	陰上35	寵	1
1234	ʦʰuŋ 	陽上24	重	1
1235	ʦʰap 	中入33	插	1
1236	ʦʰɐp 	陰入55	輯, 緝	2
1237	ʦʰɛp 	中入33	插	1
1238	ʦʰat 	中入33	刷, 察, 擦	3
1239	ʦʰɐt 	陰入55	漆, 七	2
1240	ʦʰit 	中入33	竊, 設, 徹, 撤, 切	5
1241	ʦʰyt 	陰入55	出	1
1242	ʦʰak 	中入33	拆, 策, 册	3
1243	ʦʰɐk 	陰入55	廁, 測, 鍘	3
1244	ʦʰɐk 	陽入22	賊	1
1245	ʦʰɔk 	中入33	戳	1
1246	ʦʰɛk 	中入33	尺	1
1247	ʦʰek 	陰入55	斥, 戚, 叱, 赤	4
1248	ʦʰuk 	陰入55	齪, 蓄, 促, 畜, 築, 速, 束, 觸	8
1249	sœŋ 	陰平55	雙, 商, 傷	3
1250	sœŋ 	陽平21	裳	1
1251	sœŋ 	陰上35	賞	1
1252	sœŋ 	陽上24	上	1
1253	sœŋ 	陽去22	尚, 上	2
1254	sœk 	陽入22	芍, 勺	2
1255	sɿ 	陰平55	撕, 私, 師, 思, 獅, 斯, 絲, 司	8
1256	sɿ 	陽上24	似	1
1257	sɿ 	陽去22	事, 士, 仕, 祀	4
1258	sa 	陰平55	紗, 沙, 鯊, 杉, 痧, 砂, 裟	7
1259	sa 	陰上35	耍	1
1260	sɔ 	陰平55	疏, 蔬, 梳	3
1261	sɛ 	陰平55	奢, 賒, 佘	3
1262	sɛ 	陽平21	蛇	1
1263	sɛ 	陰上35	捨	1
1264	sɛ 	陽上24	社	1
1265	sɛ 	陰去33	赦, 舍	2
1266	sɛ 	陽去22	射, 麝	2
1267	si 	陰平55	尸, 屍, 施, 詩	4
1268	si 	陽平21	豉, 時	2
1269	si 	陰上35	屎, 矢	2
1270	si 	陽上24	市	1
1271	si 	陰去33	嗜, 試	2
1272	si 	陽去22	示, 視, 豉, 氏, 是	5
1273	su 	陰上35	數	1
1274	su 	陰去33	數	1
1275	sy 	陰平55	輸, 舒, 書	3
1276	sy 	陽平21	薯, 殊	2
1277	sy 	陰上35	暑, 黍, 署, 鼠	4
1278	sy 	陽去22	樹, 豎	2
1279	sai 	陰上35	甩	1
1280	sai 	陰去33	曬	1
1281	sɐi 	陰平55	篩	1
1282	sɐi 	陰上35	使, 史, 駛	3
1283	sɐi 	陰去33	勢, 世	2
1284	sɐi 	陽去22	逝, 誓, 柿	3
1285	sɔi 	陰平55	摔	1
1286	sɔi 	陰去33	賽	1
1287	sui 	陰平55	衰	1
1288	sui 	陽平21	誰, 隋, 垂	3
1289	sui 	陰上35	水	1
1290	sui 	陰去33	帥, 稅	2
1291	sui 	陽去22	睡	1
1292	sau 	陰平55	稍, 梢, 捎	3
1293	sau 	陰去33	哨	1
1294	sɐu 	陰平55	艘, 收	2
1295	sɐu 	陰上35	手, 守, 首	3
1296	sɐu 	陰去33	獸, 瘦	2
1297	sɐu 	陽去22	授, 受, 售, 壽	4
1298	siu 	陰平55	燒	1
1299	siu 	陽平21	韶	1
1300	siu 	陰上35	少	1
1301	siu 	陰去33	少	1
1302	siu 	陽去22	邵, 紹	2
1303	sam 	陰平55	衫	1
1304	sɐm 	陰平55	參, 森, 深	3
1305	sɐm 	陰上35	沈, 嬸, 審	3
1306	sɐm 	陽去22	甚	1
1307	sim 	陽平21	蟬	1
1308	sim 	陰上35	陝, 閃	2
1309	san 	陰平55	珊, 拴, 删, 山, 姍, 閂	6
1310	san 	陰去33	汕, 疝	2
1311	sɐn 	陰平55	伸, 身, 申	3
1312	sɐn 	陽平21	辰, 晨, 神, 唇	4
1313	sɐn 	陽上24	腎	1
1314	sɐn 	陽去22	舜, 愼, 順	3
1315	sin 	陰平55	掮	1
1316	sin 	陰上35	鱔	1
1317	sin 	陰去33	扇	1
1318	sin 	陽去22	善	1
1319	syn 	陽平21	船, 醇, 純, 蒓	4
1320	syn 	陽去22	順	1
1321	saŋ 	陰平55	笙, 甥, 生, 牲	4
1322	saŋ 	陰上35	省	1
1323	sɔŋ 	陰上35	爽	1
1324	sɛŋ 	陰平55	聲	1
1325	sɛŋ 	陽平21	成, 城	2
1326	seŋ 	陰平55	升	1
1327	seŋ 	陽平21	繩, 丞, 誠, 成, 乘, 承	6
1328	seŋ 	陰去33	勝, 聖	2
1329	seŋ 	陽去22	盛	1
1330	sɐp 	陰入55	濕	1
1331	sɐp 	陽入22	十, 拾	2
1332	sip 	中入33	攝, 涉	2
1333	sat 	中入33	刹, 殺, 煞	3
1334	sɐt 	陰入55	失, 蝨, 室	3
1335	sɐt 	陽入22	實	1
1336	sit 	陽入22	舌	1
1337	syt 	陰入55	率	1
1338	syt 	中入33	說	1
1339	sɛk 	陽入22	石	1
1340	sek 	陰入55	識, 骰, 軾, 式, 適, 色, 釋, 飾	8
1341	sek 	陽入22	食, 蝕	2
1342	suk 	陰入55	縮, 叔, 淑	3
1343	suk 	陽入22	俗, 熟, 贖, 屬, 塾, 孰	6
1344	kʷa 	陰平55	瓜	1
1345	kʷa 	陰上35	寡, 剮	2
1346	kʷa 	陰去33	掛, 卦	2
1347	kʷai 	陰平55	乖	1
1348	kʷai 	陰上35	拐, 蒯	2
1349	kʷai 	陰去33	怪	1
1350	kʷɐi 	陰平55	龜, 圭, 閨, 歸	4
1351	kʷɐi 	陰上35	軌, 鬼, 詭	3
1352	kʷɐi 	陰去33	桂, 貴, 癸, 季, 鱖	5
1353	kʷɐi 	陽去22	櫃, 跪	2
1354	kʷan 	陰平55	關, 鰥	2
1355	kʷɐn 	陰平55	君, 軍	2
1356	kʷɐn 	陰上35	滾	1
1357	kʷɐn 	陽上24	菌	1
1358	kʷɐn 	陰去33	棍	1
1359	kʷɐn 	陽去22	郡	1
1360	kʷɐŋ 	陰平55	轟, 揈	2
1361	kʷat 	中入33	括, 刮	2
1362	kʷɐt 	陰入55	骨	1
1363	kʷɐt 	陽入22	掘	1
1364	kʷɛt 	中入33	刮	1
1365	kʰʷa 	陰平55	跨, 垮, 誇	3
1366	kʰʷɛ 	陽平21	瘸	1
1367	kʰʷɐi 	陰平55	虧, 窺, 規	3
1368	kʰʷɐi 	陽平21	逵, 畦, 葵, 奎, 攜	5
1369	kʰʷɐi 	陰去33	潰, 愧	2
1370	kʰʷɐn 	陰平55	昆, 鈞, 崑, 均, 坤	5
1371	kʰʷɐn 	陽平21	羣, 裙	2
1372	kʰʷɐn 	陰上35	混, 綑, 緄	3
1373	kʰʷɐn 	陰去33	困, 窘	2
1374	kʰʷaŋ 	陰平55	匡, 眶, 筐, 框	4
1375	jœŋ 	陰平55	秧, 殃, 央	3
1376	jœŋ 	陽平21	羊, 洋, 楊, 陽, 揚, 瘍	6
1377	jœŋ 	陰上35	樣	1
1378	jœŋ 	陽上24	癢, 養, 仰	3
1379	jœŋ 	陽去22	樣, 攘, 釀, 恙, 讓, 壤, 漾	7
1380	jœk 	中入33	約, 躍	2
1381	jœk 	陽入22	鑰, 藥, 弱, 若	4
1382	ja 	陰平55	呀, 鴉	2
1383	jɔ 	陰平55	喲	1
1384	jɛ 	陰平55	爺	1
1385	jɛ 	陽平21	椰, 爺	2
1386	jɛ 	陽上24	也, 野, 嘢, 冶	4
1387	jɛ 	陽去22	夜	1
1388	ji 	陰平55	衣, 依, 伊, 醫	4
1389	ji 	陽平21	兒, 姨, 夷, 移, 貽, 胰, 而	7
1390	ji 	陰上35	椅, 倚	2
1391	ji 	陽上24	已, 以, 爾, 耳, 議	5
1392	ji 	陰去33	意	1
1393	ji 	陽去22	二, 易, 異, 肄, 義	5
1394	jui 	陰平55	錐	1
1395	jui 	陽上24	銳, 蘂	2
1396	jui 	陽去22	銳	1
1397	jɐu 	陰平55	攸, 休, 悠, 邱, 丘, 幽, 憂, 優	8
1398	jɐu 	陽平21	游, 油, 郵, 柔, 由, 猷, 尤, 猶, 揉	9
1399	jɐu 	陰上35	柚	1
1400	jɐu 	陽上24	友	1
1401	jɐu 	陰去33	幼, 誘	2
1402	jɐu 	陽去22	宥, 又, 祐, 右	4
1403	jiu 	陰平55	要, 腰, 邀, 妖	4
1404	jiu 	陽平21	遙, 瑤, 饒, 搖, 窰, 姚	6
1405	jiu 	陰上35	擾, 繞	2
1406	jiu 	陰去33	要	1
1407	jiu 	陽去22	繞, 耀	2
1408	jɐm 	陰平55	陰, 音	2
1409	jɐm 	陽平21	淫, 壬, 吟	3
1410	jɐm 	陰上35	飲	1
1411	jɐm 	陽去22	任	1
1412	jim 	陰平55	淹, 閹	2
1413	jim 	陽平21	鹽, 炎, 閻, 嚴, 簷, 嫌	6
1414	jim 	陰上35	演, 掩	2
1415	jim 	陽上24	染, 冉	2
1416	jim 	陰去33	厭	1
1417	jim 	陽去22	焰	1
1418	jɐn 	陰平55	殷, 因, 姻	3
1419	jɐn 	陽平21	仁, 寅, 人	3
1420	jɐn 	陰上35	隱	1
1421	jɐn 	陽上24	癮, 引, 忍	3
1422	jɐn 	陰去33	印	1
1423	jɐn 	陽去22	潤, 韌, 閏, 刃	4
1424	jin 	陰平55	焉, 煙	2
1425	jin 	陽平21	燃, 筵, 延, 然, 賢, 言, 研	7
1426	jin 	陰去33	嚥, 宴, 燕, 堰	4
1427	jin 	陽去22	豔, 硯, 縣, 現	4
1428	jɐŋ 	陰去33	韌	1
1429	jɛŋ 	陽平21	贏	1
1430	jeŋ 	陰平55	應, 英, 鷹, 嬰, 櫻, 鸚, 纓, 蠅	8
1431	jeŋ 	陽平21	迎, 刑, 仍, 營, 螢, 盈, 形, 型	8
1432	jeŋ 	陰上35	穎, 影, 映	3
1433	jeŋ 	陰去33	應	1
1434	jeŋ 	陽去22	認	1
1435	juŋ 	陰平55	翁, 邕, 臃	3
1436	juŋ 	陽平21	茸, 蓉, 融, 容, 絨, 榮, 榕, 熔, 戎, 熊	10
1437	juŋ 	陰上35	湧, 擁	2
1438	juŋ 	陽上24	勇	1
1439	juŋ 	陽去22	用, 傭	2
1440	jɐp 	陰入55	揖	1
1441	jɐp 	陽入22	入	1
1442	jip 	中入33	醃	1
1443	jip 	陽入22	葉, 頁	2
1444	jɐt 	陰入55	邑, 一	2
1445	jɐt 	陽入22	逸, 日	2
1446	jit 	中入33	乙	1
1447	jit 	陽入22	熱	1
1448	jek 	陰入55	益, 憶, 億, 溢, 抑	5
1449	jek 	陽入22	易, 翼, 譯, 亦, 液, 疫, 役	7
1450	juk 	陰入55	郁, 育	2
1451	juk 	陽入22	慾, 浴, 欲, 肉, 辱, 褥, 獄, 玉	8
1452	wa 	陰平55	花, 娃	2
1453	wa 	陽平21	鏵, 驊, 華	3
1454	wa 	陰上35	畫	1
1455	wa 	陽去22	話	1
1456	wɔ 	陰平55	窩, 倭	2
1457	wɔ 	陽平21	和, 禾	2
1458	wɔ 	陽去22	禍	1
1459	wu 	陰平55	烏, 塢, 汚	3
1460	wu 	陽平21	鬍, 瓠, 糊, 狐, 湖, 乎, 胡, 壺	8
1461	wu 	陰去33	惡	1
1462	wu 	陽去22	護, 戶, 互	3
1463	wai 	陰平55	歪	1
1464	wai 	陽平21	懷, 淮, 槐	3
1465	wai 	陰去33	快, 塊, 筷	3
1466	wai 	陽去22	壞	1
1467	wɐi 	陰平55	輝, 威, 揮	3
1468	wɐi 	陽平21	幃, 違, 韋, 葦, 唯, 遺, 為, 圍, 維, 惟	10
1469	wɐi 	陰上35	倭, 毀, 委, 萎, 偉, 緯	6
1470	wɐi 	陰去33	猥, 慰, 尉, 畏, 餧	5
1471	wɐi 	陽去22	胃, 為, 惠, 衛, 彗, 蝟, 謂, 位	8
1472	wui 	陰平55	煨	1
1473	wui 	陽平21	迴, 茴, 蛔, 回	4
1474	wui 	陰上35	會	1
1475	wui 	陽去22	匯, 彙, 會	3
1476	wan 	陰平55	彎, 灣	2
1477	wan 	陽平21	還, 環, 頑, 紈, 寰, 桓	6
1478	wan 	陰上35	玩	1
1479	wan 	陽上24	挽	1
1480	wan 	陽去22	幻, 宦, 患	3
1481	wɐn 	陰平55	葷, 婚, 昏, 熏, 溫, 薰, 勳, 瘟	8
1482	wɐn 	陽平21	勻, 雲, 云, 魂	4
1483	wɐn 	陰上35	尹, 允, 穩	3
1484	wɐn 	陽去22	韻, 運	2
1485	wɛn 	陽平21	還, 環	2
1486	wɛn 	陽上24	鯇	1
1487	wun 	陰上35	剜, 緩, 皖, 豌, 碗	5
1488	wun 	陽去22	喚, 煥, 換	3
1489	waŋ 	陽平21	橫	1
1490	wɐŋ 	陰平55	嗡	1
1491	wɔŋ 	陰平55	汪	1
1492	wɔŋ 	陽平21	皇, 簧, 黃, 王, 蝗	5
1493	wɔŋ 	陰上35	枉	1
1494	wɔŋ 	陽上24	往	1
1495	wɔŋ 	陽去22	旺	1
1496	weŋ 	陽上24	永	1
1497	wat 	中入33	挖	1
1498	wat 	陽入22	滑	1
1499	wɐt 	陰入55	屈, 倔, 窟, 郁, 憠	5
1500	wɐt 	陽入22	核	1
1501	wɛt 	中入33	挖	1
1502	wɛt 	陽入22	猾, 滑	2
1503	wut 	陽入22	活	1
1504	wak 	陽入22	畫, 獲, 劃, 或	4
1505	wɔk 	陽入22	鑊	1
1506	wek 	陽入22	域	1
