序号	聲韻	聲調	字元	字數
332	tai 	陽去22	大	1
333	tɐi 	陰平55	低	1
334	tɐi 	陰上35	底, 抵	2
335	tɐi 	陰去33	帝	1
336	tɐi 	陽去22	第, 棣, 弟, 隸, 遞	5
337	tɔi 	陽去22	迨, 黛, 代, 殆, 待, 怠, 貸, 帶, 袋	9
338	tui 	陰平55	堆	1
339	tui 	陰去33	碓, 對	2
340	tui 	陽去22	隊, 兌	2
341	tɐu 	陰平55	兜	1
342	tɐu 	陰上35	斗, 糾, 抖, 陡	4
343	tɐu 	陰去33	竇, 逗, 鬥	3
344	tɐu 	陽去22	痘, 豆	2
345	tiu 	陰平55	雕, 刁, 丟, 貂	4
346	tiu 	陰上35	鳥	1
347	tiu 	陰去33	弔, 釣	2
348	tiu 	陽去22	掉, 調	2
349	tam 	陰平55	擔, 耽	2
350	tam 	陰上35	膽	1
351	tam 	陰去33	擔	1
352	tam 	陽去22	啖	1
353	tɛm 	陰上35	點	1
354	tim 	陰平55	掂, 踮	2
355	tim 	陰上35	點, 典, 碘	3
356	tim 	陰去33	店, 點, 惦	3
357	tim 	陽去22	墊	1
358	tan 	陰平55	丹, 單	2
359	tan 	陰上35	撣	1
360	tan 	陰去33	誕, 旦	2
361	tan 	陽去22	彈, 但, 蛋	3
362	tɐn 	陰平55	敦, 噸, 墩	3
363	tɐn 	陰上35	囤	1
364	tɐn 	陽去22	遁, 沌, 頓, 鈍, 盾	5
365	tin 	陰平55	顛, 巔	2
366	tin 	陽去22	電, 殿, 佃	3
367	tyn 	陰平55	端	1
368	tyn 	陰上35	短	1
369	tyn 	陽去22	鍛, 緞, 段	3
370	tɐŋ 	陰平55	燈, 登	2
371	tɐŋ 	陽平21	藤, 謄, 騰, 滕, 疼	5
372	tɐŋ 	陰上35	等, 戥	2
373	tɐŋ 	陰去33	凳	1
374	tɐŋ 	陽去22	澄, 鄧	2
375	tɔŋ 	陰平55	當	1
376	tɔŋ 	陰上35	擋, 黨, 檔	3
377	tɔŋ 	陰去33	當, 檔	2
378	tɔŋ 	陽去22	宕, 蕩	2
379	tɛŋ 	陰平55	釘, 丁	2
380	tɛŋ 	陰上35	頂	1
