ID	TRAD	SIMP	IPA_S	IPA_T	JYUTPING	SOUR	EXPL	NOTE
1450	執	执	jɐp5	jɐp5	jap1	2000年李連進《南寧近郊平話方言島》P65	撮	原文作「撮」字
1451	鑷	镊	nɛp5	nɛp5	nep3	2000年李連進《南寧近郊平話方言島》P65	挾	原文作「挾」字
1452	襪	袜	mat24	mat24	maat5	2000年李連進《南寧近郊平話方言島》P65		
1453	凐	凐	jɐn41	jɐn53	jan1	2000年李連進《南寧近郊平話方言島》P65	～水，涼水；～天，冷天	原文作「陰」字，且「～天」誤釋義爲「夏天」
1454	𤊶	𤊶	lɐt3	lɐt3	lat2	2000年李連進《南寧近郊平話方言島》P65	～水，熱水	原文作「栗」字
1455	能	能	nəŋ33	nɐŋ33	nang2	2000年李連進《南寧近郊平話方言島》P65	同[tøŋ21]～，怎樣	原文有音無字
1456	門	门	mun21	mun21	mun4	2000年李連進《南寧近郊平話方言島》P65	哪[na24]～，什麼	
1457	仔	仔	tɕai33	tʃai33	zaai2	2000年李連進《南寧近郊平話方言島》P66	兒子	
1458	婦	妇	fu33	fu33	fu2	2000年李連進《南寧近郊平話方言島》P66	新～，兒媳婦	
1459	婦	妇	fu33	fu33	fu2	1997年李榮主編《南寧平話詞典》P244	新～，兒媳婦	
1460	女	女	ny24	ny24	nyu5	2000年李連進《南寧近郊平話方言島》P66		
1461	佬	佬	lau24	lau24	laau5	2000年李連進《南寧近郊平話方言島》P66	外父～，岳父	原文作「老」字
1462	饅	馒	man21	man21	maan4	1997年李榮主編《南寧平話詞典》P219	饅頭	
1463	息	息	ɬɐk3	ɬɐk3	slak2	2000年李連進《南寧近郊平話方言島》P66	孫～，重孫；女～，重孫女	原文有音無字
1464	孃	娘	nEŋ55	niɐŋ55	niang3	2000年李連進《南寧近郊平話方言島》P66	阿～，母親的妹妹	
1465	娘	娘	nEŋ55	niɐŋ55	niang3	2000年李連進《南寧近郊平話方言島》P66	阿～，母親的妹妹	原文作「孃」字
1466	母	母	mu33	mu33	mu2	2000年李連進《南寧近郊平話方言島》P66	姨～，母親的姐姐	
1467	弟	弟	tEi24	tɐi24	dai5	2000年李連進《南寧近郊平話方言島》P66	老～，弟弟；阿～，堂弟	後文介紹，只在向外人介紹時才加「堂」字，平時稱呼與同胞兄弟無異
1468	兄	兄	heŋ53	heŋ53	hing1	1997年李榮主編《南寧平話詞典》P267		
1469	妹	妹	mui55	mui55	mui3	2000年李連進《南寧近郊平話方言島》P66	堂～堂姐，堂姐妹	原文誤作[møi55]，標調疑誤。後文介紹，只在向外人介紹時才加「堂」字，平時稱呼與同胞姐妹無異
1470	妹	妹	mui24	mui24	mui5	2000年李連進《南寧近郊平話方言島》P66	表姐～，表姐妹	原文誤作[møi24]，標調疑誤。原文作「表姊妹」
1471	後	后	həu22	hɐu33	hau2	1997年李榮主編《南寧平話詞典》P170	～老孃，繼母	
1472	後	后	hɐu55	hɐu55	hau3	2000年李連進《南寧近郊平話方言島》P66	～孃，後媽	原文誤作[hou55]
1473	胾	胾	ŋe55	ŋe55	nge3	1997年李榮主編《南寧平話詞典》P317	搭秤～，①稱肉時爲補足數量而搭配的肉②婦女改嫁帶的女兒的侮稱	原文有音無字
1474	胾	胾	jE55	je55	je3	2000年李連進《南寧近郊平話方言島》P66	搭秤～，帶犢兒，婦女改嫁帶的兒女	原文有音無字
1475	澾	㳠	tʰat3	tʰat3	taat2	2000年李連進《南寧近郊平話方言島》P66	～頭，亮光頭	原文有音無字，「頭」字誤作[tou21]
1476	額	额	ŋak24	ŋak24	ngaak5	2000年李連進《南寧近郊平話方言島》P66	額頭	原文「頭」字誤作[tou21]
1477	窩	窝	ɔ41	∅o53	o1	2000年李連進《南寧近郊平話方言島》P66	酒窩	
1478	巴	巴	pa21	pa21	baa4	2000年李連進《南寧近郊平話方言島》P66	下巴	
1479	螺	螺	lu21	lu21	lu4	2000年李連進《南寧近郊平話方言島》P66	頭髮旋兒	
1480	腡	脶	lu21	lu21	lu4	2000年李連進《南寧近郊平話方言島》P66	手指紋	原文作「螺」字
1481	膊	膊	puk3	pok3	buk2	2000年李連進《南寧近郊平話方言島》P66	～頭，肩膀	
1482	腋	腋	ak3	∅ak3	aak2	2000年李連進《南寧近郊平話方言島》P66	～隘[E55]，膈肢窩	原文有音無字
1483	隘	隘	E55	∅e55	e3	2000年李連進《南寧近郊平話方言島》P66	腋[ak3]～，膈肢窩	原文有音無字
1484	脯	脯	pu21	pu21	bu4	2000年李連進《南寧近郊平話方言島》P66	胸脯	
1485	索	索	ɕak3	ʃak3	saak2	2000年李連進《南寧近郊平話方言島》P66	肋～骨，肋條	原文有音無字
1486	彌	弥	mE21	me21	me4	2000年李連進《南寧近郊平話方言島》P66	乳房	原文有音無字
1487	瀰	弥	mE21	me21	me4	2000年李連進《南寧近郊平話方言島》P66	乳房	原文有音無字
1488	股	股	ku53	ku53	gu1	1997年李榮主編《南寧平話詞典》P2	屁股	
1489	股	股	ku41	ku53	gu1	2000年李連進《南寧近郊平話方言島》P66	屁股	
