ID	TRAD	SIMP	IPA_S	IPA_T	JYUTPING	SOUR	EXPL	NOTE
1014	血	血	hyt3	hyt3	hyut3	2015年語保工程(單字)		
1015	吞	吞	thɐn55	tʰɐn55	tan1	2015年語保工程(單字)		
1016	根	根	kɐn55	kɐn55	gan1	2015年語保工程(單字)		
1017	恨	恨	hɐn22	hɐn22	han6	2015年語保工程(單字)		
1018	恩	恩	ɐn55	∅ɐn55	an1	2015年語保工程(單字)		林亦調查點
1019	恩	恩	ŋɐn55	ŋɐn55	ngan1	2015年語保工程(單字)		唐七元調查點
1020	貧	贫	phɐn21	pʰɐn21	pan4	2015年語保工程(單字)		
1021	民	民	mɐn21	mɐn21	man4	2015年語保工程(單字)		
1022	鄰	邻	lɐn21	lɐn21	lan4	2015年語保工程(單字)		
1023	進	进	ʧɐn33	tʃɐn33	zan3	2015年語保工程(單字)		
1024	親	亲	ʧhɐn55	tʃʰɐn55	can1	2015年語保工程(單字)	～人	
1025	新	新	ɬɐn55	ɬɐn55	slan1	2015年語保工程(單字)		
1026	鎮	镇	ʧɐn33	tʃɐn33	zan3	2015年語保工程(單字)		
1027	陳	陈	ʧhɐn21	tʃʰɐn21	can4	2015年語保工程(單字)		
1028	震	震	ʧɐn33	tʃɐn33	zan3	2015年語保工程(單字)		
1029	神	神	ʃɐn21	ʃɐn21	san4	2015年語保工程(單字)		
1030	身	身	ʃɐn55	ʃɐn55	san1	2015年語保工程(單字)		
1031	辰	辰	ʃɐn21	ʃɐn21	san4	2015年語保工程(單字)		
1032	人	人	Ǿiɐn21	jɐn21	jan4	2015年語保工程(單字)		
1033	認	认	Ǿieŋ22	jeŋ22	jing6	2015年語保工程(單字)		
1034	緊	紧	kɐn35	kɐn35	gan2	2015年語保工程(單字)		
1035	銀	银	ŋɐn21	ŋɐn21	ngan4	2015年語保工程(單字)		
1036	印	印	Ǿiɐn33	jɐn33	jan3	2015年語保工程(單字)		
1037	引	引	Ǿiɐn24	jɐn24	jan5	2015年語保工程(單字)		
1038	筆	笔	pɐt5	pɐt5	bat1	2015年語保工程(單字)		
1039	匹	匹	phɐt5	pʰɐt5	pat1	2015年語保工程(單字)		
1040	密	密	mɐt2	mɐt2	mat6	2015年語保工程(單字)		
1041	慄	栗	lɐt2	lɐt2	lat6	2015年語保工程(單字)		
1042	七	七	ʧhɐt5	tʃʰɐt5	cat1	2015年語保工程(單字)		
1043	侄	侄	ʧɐt2	tʃɐt2	zat6	2015年語保工程(單字)		
1044	蝨	虱	ʃɐt5	ʃɐt5	sat1	2015年語保工程(單字)		
1045	實	实	ʃɐt2	ʃɐt2	sat6	2015年語保工程(單字)		
1046	失	失	ʃɐt5	ʃɐt5	sat1	2015年語保工程(單字)		
1047	日	日	Ǿiɐt2	jɐt2	jat6	2015年語保工程(單字)		
