ID	TRAD	SIMP	IPA_S	IPA_T	JYUTPING	SOUR	EXPL	NOTE
967	糍	糍	tʃi21	tʃi21	zi4	1998年楊煥典主編《廣西通誌·漢語方言誌》P670	麻餈，餈粑	原文作「餈」字
968	自	自	tʃi22	tʃi22	zi6	1998年楊煥典主編《廣西通誌·漢語方言誌》P670	自顧自，自己，自私	
969	私	私	ɬi53	ɬi53	sli1	1998年楊煥典主編《廣西通誌·漢語方言誌》P670	自私，私心	
970	死	死	ɬi33	ɬi33	sli2	1998年楊煥典主編《廣西通誌·漢語方言誌》P670	死了，死亡	
971	四	四	ɬi55	ɬi55	sli3	1998年楊煥典主編《廣西通誌·漢語方言誌》P670	數字	
972	肆	肆	ɬi55	ɬi55	sli3	1998年楊煥典主編《廣西通誌·漢語方言誌》P670		
973	致	致	tʃi55	tʃi55	zi3	1998年楊煥典主編《廣西通誌·漢語方言誌》P670	導致，致敬	
974	遲	迟	tʃi21	tʃi21	zi4	1998年楊煥典主編《廣西通誌·漢語方言誌》P670	遲到，推遲	
975	雉	雉	tʃi22	tʃi22	zi6	1998年楊煥典主編《廣西通誌·漢語方言誌》P670	雉雞，野雞	
976	緻	致	tʃi55	tʃi55	zi3	1998年楊煥典主編《廣西通誌·漢語方言誌》P670	細緻	原文作「致」字
977	稚	稚	tʃi22	tʃi22	zi6	1998年楊煥典主編《廣西通誌·漢語方言誌》P670	幼稚，稚嫩	
978	師	师	ʃɐi53	ʃɐi53	sai1	1998年楊煥典主編《廣西通誌·漢語方言誌》P671	老師，師父	
979	獅	狮	ʃɐi53	ʃɐi53	sai1	1998年楊煥典主編《廣西通誌·漢語方言誌》P671	獅子	
980	脂	脂	tʃi53	tʃi53	zi1	1998年楊煥典主編《廣西通誌·漢語方言誌》P671	豬脂油，胭脂，脂肪	
981	指	指	tʃi33	tʃi33	zi2	1998年楊煥典主編《廣西通誌·漢語方言誌》P671	手指，指揮	
982	旨	旨	tʃi33	tʃi33	zi2	1998年楊煥典主編《廣西通誌·漢語方言誌》P671	奉旨，旨意	
983	至	至	tʃi55	tʃi55	zi3	1998年楊煥典主編《廣西通誌·漢語方言誌》P671	至少	
984	示	示	ʃi22	ʃi22	si6	1998年楊煥典主編《廣西通誌·漢語方言誌》P671	啓示，示意圖	
985	尸	尸	ʃi53	ʃi53	si1	1998年楊煥典主編《廣西通誌·漢語方言誌》P671	尸陳	
986	屍	尸	ʃi53	ʃi53	si1	1998年楊煥典主編《廣西通誌·漢語方言誌》P671	死屍，分屍	
987	屎	屎	ʃi33	ʃi33	si2	1998年楊煥典主編《廣西通誌·漢語方言誌》P671	糞便	
988	矢	矢	tʃʰi33	tʃʰi33	ci2	1998年楊煥典主編《廣西通誌·漢語方言誌》P671	無的放矢	
989	視	视	ʃi22	ʃi22	si6	1998年楊煥典主編《廣西通誌·漢語方言誌》P671	近視，視察	
990	嗜	嗜	ʃi22	ʃi22	si6	1998年楊煥典主編《廣西通誌·漢語方言誌》P671	嗜好	
991	二	二	ȵi22	ȵi22	nji6	1998年楊煥典主編《廣西通誌·漢語方言誌》P671	數字	
992	貳	贰	ȵi22	ȵi22	nji6	1998年楊煥典主編《廣西通誌·漢語方言誌》P671	貳心	
993	飢	饥	ki53	ki53	gi1	1998年楊煥典主編《廣西通誌·漢語方言誌》P671	飢餓	
994	肌	肌	ki53	ki53	gi1	1998年楊煥典主編《廣西通誌·漢語方言誌》P671	肌肉	
995	几	几	ki53	ki53	gi1	1998年楊煥典主編《廣西通誌·漢語方言誌》P671	茶几	
996	冀	冀	ki55	ki55	gi3	1998年楊煥典主編《廣西通誌·漢語方言誌》P672	河北簡稱	
997	器	器	hi55	hi55	hi3	1998年楊煥典主編《廣西通誌·漢語方言誌》P672	武器，大器	
998	棄	弃	hi55	hi55	hi3	1998年楊煥典主編《廣西通誌·漢語方言誌》P672	放棄	
999	祁	祁	ki21	ki21	gi4	1998年楊煥典主編《廣西通誌·漢語方言誌》P672	祁門	
1000	鰭	鳍	ki21	ki21	gi4	1998年楊煥典主編《廣西通誌·漢語方言誌》P672	魚鰭，背鰭	
1001	伊	伊	ji53	ji53	ji1	1998年楊煥典主編《廣西通誌·漢語方言誌》P672	姓，伊犁	
1002	姨	姨	ji21	ji21	ji4	1998年楊煥典主編《廣西通誌·漢語方言誌》P672	阿姨	
1003	夷	夷	ji21	ji21	ji4	1998年楊煥典主編《廣西通誌·漢語方言誌》P672	化險爲夷，夷蠻	
1004	肄	肄	ji55	ji55	ji3	1998年楊煥典主編《廣西通誌·漢語方言誌》P672	肄業	
1005	你	你	ni24	ni24	ni5	1998年楊煥典主編《廣西通誌·漢語方言誌》P672	第二人稱	
1006	釐	厘	li21	li21	li4	1998年楊煥典主編《廣西通誌·漢語方言誌》P672	釐米，分釐	
1007	狸	狸	li21	li21	li4	1998年楊煥典主編《廣西通誌·漢語方言誌》P672	狸貓換太子，狐狸，山貓	
1008	李	李	li24	li24	li5	1998年楊煥典主編《廣西通誌·漢語方言誌》P672	姓，一種水果	
1009	里	里	li24	li24	li5	1998年楊煥典主編《廣西通誌·漢語方言誌》P672	一里路，里弄，地名	
1010	理	理	li24	li24	li5	1998年楊煥典主編《廣西通誌·漢語方言誌》P672	道理，理由	
1011	裏	里	li24	li24	li5	1998年楊煥典主編《廣西通誌·漢語方言誌》P672	裏面，裏外	
1012	裡	里	li24	li24	li5	1998年楊煥典主編《廣西通誌·漢語方言誌》P672	裡面，裡外	原文作「裏」字
1013	鯉	鲤	li24	li24	li5	1998年楊煥典主編《廣西通誌·漢語方言誌》P672	鯉魚跳龍門	
1014	吏	吏	li22	li22	li6	1998年楊煥典主編《廣西通誌·漢語方言誌》P672	官吏，吏治	
1015	茲	兹	tʃi53	tʃi53	zi1	1998年楊煥典主編《廣西通誌·漢語方言誌》P673	公文用語	
1016	滋	滋	tʃi53	tʃi53	zi1	1998年楊煥典主編《廣西通誌·漢語方言誌》P673	滋味，滋潤	
1017	子	子	tʃi33	tʃi33	zi2	1998年楊煥典主編《廣西通誌·漢語方言誌》P673	孔子，子孫，兒子，老子	
1018	梓	梓	tʃi33	tʃi33	zi2	1998年楊煥典主編《廣西通誌·漢語方言誌》P673	桑梓	
1019	慈	慈	tʃi21	tʃi21	zi4	1998年楊煥典主編《廣西通誌·漢語方言誌》P673	慈悲，慈禧	
