ID	TRAD	SIMP	IPA_S	IPA_T	JYUTPING	SOUR	EXPL	NOTE
2948	落	落	lɔk2	lɔk2	lok6	1998年楊煥典主編《廣西通誌·漢語方言誌》P773	落下，下落	
2949	烙	烙	lɔk3	lɔk3	lok3	1998年楊煥典主編《廣西通誌·漢語方言誌》P773	烙餅，烙印	
2950	酪	酪	lɔk3	lɔk3	lok3	1998年楊煥典主編《廣西通誌·漢語方言誌》P773	奶酪	
2951	洛	洛	lɔk3	lɔk3	lok3	1998年楊煥典主編《廣西通誌·漢語方言誌》P773	洛陽	
2952	駱	骆	lɔk3	lɔk3	lok3	1998年楊煥典主編《廣西通誌·漢語方言誌》P773	駱駝，姓	
2953	樂	乐	lɔk2	lɔk2	lok6	1998年楊煥典主編《廣西通誌·漢語方言誌》P773	快樂，樂觀	
2954	絡	络	lɔk3	lɔk3	lok3	1998年楊煥典主編《廣西通誌·漢語方言誌》P773	聯絡，籮絡	
2955	贓	赃	tsɔŋ55	tʃɔŋ55	zong1	1998年楊煥典主編《廣西通誌·漢語方言誌》P773	贓物，貪贓	
2956	髒	脏	tsɔŋ55	tʃɔŋ55	zong1	1998年楊煥典主編《廣西通誌·漢語方言誌》P773	骯髒	
2957	葬	葬	tsɔŋ33	tʃɔŋ33	zong3	1998年楊煥典主編《廣西通誌·漢語方言誌》P773	埋葬，葬身	
2958	作	作	tsɔk3	tʃɔk3	zok3	1998年楊煥典主編《廣西通誌·漢語方言誌》P774	工作，作坊	
2959	倉	仓	tsʰɔŋ55	tʃʰɔŋ55	cong1	1998年楊煥典主編《廣西通誌·漢語方言誌》P774	穀倉，倉庫	
2960	蒼	苍	tsʰɔŋ55	tʃʰɔŋ55	cong1	1998年楊煥典主編《廣西通誌·漢語方言誌》P774	蒼白，蒼蠅	
2961	藏	藏	tsʰɔŋ21	tʃʰɔŋ21	cong4	1998年楊煥典主編《廣西通誌·漢語方言誌》P774	隱藏，捉迷藏	
2962	藏	藏	tsɔŋ22	tʃɔŋ22	zong6	1998年楊煥典主編《廣西通誌·漢語方言誌》P774	西藏，藏族	
2963	臟	脏	tsɔŋ22	tʃɔŋ22	zong6	1998年楊煥典主編《廣西通誌·漢語方言誌》P774	五臟，內臟	
2964	鑿	凿	tsɔk2	tʃɔk2	zok6	1998年楊煥典主編《廣西通誌·漢語方言誌》P774	用鑿子鑿	
2965	昨	昨	tsɔk2	tʃɔk2	zok6	1998年楊煥典主編《廣西通誌·漢語方言誌》P774	昨天	
2966	柞	柞	tsɔk2	tʃɔk2	zok6	1998年楊煥典主編《廣西通誌·漢語方言誌》P774		
2967	桑	桑	ɬɔŋ55	ɬɔŋ55	slong1	1998年楊煥典主編《廣西通誌·漢語方言誌》P774	桑樹，桑葉	
2968	喪	丧	ɬɔŋ55	ɬɔŋ55	slong1	1998年楊煥典主編《廣西通誌·漢語方言誌》P774	婚喪，喪事	
2969	磉	磉	ɬɔŋ35	ɬɔŋ35	slong2	1998年楊煥典主編《廣西通誌·漢語方言誌》P774	柱下石，磉盤	
2970	嗓	嗓	ɬɔŋ35	ɬɔŋ35	slong2	1998年楊煥典主編《廣西通誌·漢語方言誌》P774	嗓子	
2971	搡	搡	ɬɔŋ35	ɬɔŋ35	slong2	1998年楊煥典主編《廣西通誌·漢語方言誌》P774	推搡	
2972	喪	丧	ɬɔŋ33	ɬɔŋ33	slong3	1998年楊煥典主編《廣西通誌·漢語方言誌》P774	喪失，沮喪	
2973	索	索	ɬɔk3	ɬɔk3	slok3	1998年楊煥典主編《廣西通誌·漢語方言誌》P774	繩索，索性	
2974	岡	冈	kɔŋ55	kɔŋ55	gong1	1998年楊煥典主編《廣西通誌·漢語方言誌》P774	井岡山	
2975	剛	刚	kɔŋ55	kɔŋ55	gong1	1998年楊煥典主編《廣西通誌·漢語方言誌》P775	剛剛，剛好	
2976	崗	岗	kɔŋ55	kɔŋ55	gong1	1998年楊煥典主編《廣西通誌·漢語方言誌》P775	站崗，崗位	
2977	綱	纲	kɔŋ55	kɔŋ55	gong1	1998年楊煥典主編《廣西通誌·漢語方言誌》P775	上綱上線	
2978	鋼	钢	kɔŋ55	kɔŋ55	gong1	1998年楊煥典主編《廣西通誌·漢語方言誌》P775	磨刀；鋼鐵	
2979	鋼	钢	kɔŋ33	kɔŋ33	gong3	1998年楊煥典主編《廣西通誌·漢語方言誌》P775	鋼鐵	
2980	缸	缸	kɔŋ55	kɔŋ55	gong1	1998年楊煥典主編《廣西通誌·漢語方言誌》P775	水缸	
2981	槓	杠	kɔŋ33	kɔŋ33	gong3	1998年楊煥典主編《廣西通誌·漢語方言誌》P775	擡物用具	
2982	杠	杠	kɔŋ33	kɔŋ33	gong3	1998年楊煥典主編《廣西通誌·漢語方言誌》P775	擡物用具	
2983	胳	胳	kɔk3	kɔk3	gok3	1998年楊煥典主編《廣西通誌·漢語方言誌》P775	胳臂	
2984	各	各	kɔk3	kɔk3	gok3	1998年楊煥典主編《廣西通誌·漢語方言誌》P775	各位	
2985	閣	阁	kɔk3	kɔk3	gok3	1998年楊煥典主編《廣西通誌·漢語方言誌》P775	閣下，閣老	
2986	擱	搁	kʰɔk3	kʰɔk3	kok3	1998年楊煥典主編《廣西通誌·漢語方言誌》P775	擱腳，耽擱	
2987	康	康	hɔŋ55	hɔŋ55	hong1	1998年楊煥典主編《廣西通誌·漢語方言誌》P775	康復，健康	
2988	糠	糠	hɔŋ55	hɔŋ55	hong1	1998年楊煥典主編《廣西通誌·漢語方言誌》P775	穀糠，礱糠	
2989	慷	慷	hɔŋ35	hɔŋ35	hong2	1998年楊煥典主編《廣西通誌·漢語方言誌》P775	慷慨	
2990	抗	抗	kʰɔŋ33	kʰɔŋ33	kong3	1998年楊煥典主編《廣西通誌·漢語方言誌》P775	反抗，抗戰	
2991	炕	炕	kʰɔŋ33	kʰɔŋ33	kong3	1998年楊煥典主編《廣西通誌·漢語方言誌》P775	北方睡覺用	
2992	閌	闶	kʰɔŋ33	kʰɔŋ33	kong3	1998年楊煥典主編《廣西通誌·漢語方言誌》P775		
2993	昂	昂	ŋɔŋ21	ŋɔŋ21	ngong4	1998年楊煥典主編《廣西通誌·漢語方言誌》P775	昂首，氣昂昂	
2994	鄂	鄂	ŋɔk2	ŋɔk2	ngok6	1998年楊煥典主編《廣西通誌·漢語方言誌》P776	湖北簡稱	
2995	郝	郝	hu35	hu35	hu2	1998年楊煥典主編《廣西通誌·漢語方言誌》P776	姓	
2996	蠚	蠚	hɔk3	hɔk3	hok3	1998年楊煥典主編《廣西通誌·漢語方言誌》P776	蜂蠚人	
2997	行	行	hɔŋ21	hɔŋ21	hong4	1998年楊煥典主編《廣西通誌·漢語方言誌》P776	行列	
2998	航	航	hɔŋ21	hɔŋ21	hong4	1998年楊煥典主編《廣西通誌·漢語方言誌》P776	航行，起航	
2999	杭	杭	hɔŋ21	hɔŋ21	hong4	1998年楊煥典主編《廣西通誌·漢語方言誌》P776	杭州	
3000	鶴	鹤	hɔk2	hɔk2	hok6	1998年楊煥典主編《廣西通誌·漢語方言誌》P776	仙鶴	
3001	骯	肮	ɔŋ55	∅ɔŋ55	ong1	1998年楊煥典主編《廣西通誌·漢語方言誌》P776	骯髒	
3002	嚐	尝	tsʰœŋ21	tʃʰœŋ21	coeng4	1998年楊煥典主編《廣西通誌·漢語方言誌》P781		
3003	惡	恶	ɔk3	∅ɔk3	ok3	1998年楊煥典主編《廣西通誌·漢語方言誌》P776	兇惡，惡毒	
3004	娘	娘	nœŋ21	nœŋ21	noeng4	1998年楊煥典主編《廣西通誌·漢語方言誌》P776		
3005	釀	酿	jœŋ22	jœŋ22	joeng6	1998年楊煥典主編《廣西通誌·漢語方言誌》P776	酒釀，釀酒	
3006	良	良	lœŋ21	lœŋ21	loeng4	1998年楊煥典主編《廣西通誌·漢語方言誌》P776	良好，優良	
3007	涼	凉	lœŋ21	lœŋ21	loeng4	1998年楊煥典主編《廣西通誌·漢語方言誌》P776	風涼，涼快	
3008	量	量	lœŋ21	lœŋ21	loeng4	1998年楊煥典主編《廣西通誌·漢語方言誌》P776	量長短	
3009	糧	粮	lœŋ21	lœŋ21	loeng4	1998年楊煥典主編《廣西通誌·漢語方言誌》P776	糧食，口糧	
3010	粮	粮	lœŋ21	lœŋ21	loeng4	1998年楊煥典主編《廣西通誌·漢語方言誌》P776	糧食，口糧	
3011	梁	梁	lœŋ21	lœŋ21	loeng4	1998年楊煥典主編《廣西通誌·漢語方言誌》P776	姓，梁山	
3012	粱	粱	lœŋ21	lœŋ21	loeng4	1998年楊煥典主編《廣西通誌·漢語方言誌》P776	高粱	
