ID	TRAD	SIMP	IPA_S	IPA_T	JYUTPING	SOUR	EXPL	NOTE
2342	撚	撚	nɛn35	nɛn35	nen2	1998年楊煥典主編《廣西通誌·漢語方言誌》P741	以指捻	原文作「捻」字
2343	攆	撵	nɛn35	nɛn35	nen2	1998年楊煥典主編《廣西通誌·漢語方言誌》P741		
2344	捏	捏	nɛt2	nɛt2	net6	1998年楊煥典主編《廣西通誌·漢語方言誌》P741	捏緊	
2345	憐	怜	lin21	lin21	lin4	1998年楊煥典主編《廣西通誌·漢語方言誌》P741	可憐	
2346	蓮	莲	lin21	lin21	lin4	1998年楊煥典主編《廣西通誌·漢語方言誌》P741	蓮花，蓮蓬	
2347	練	练	lin22	lin22	lin6	1998年楊煥典主編《廣西通誌·漢語方言誌》P741	練習，熟練	
2348	煉	炼	lin22	lin22	lin6	1998年楊煥典主編《廣西通誌·漢語方言誌》P741	煉丹	
2349	楝	楝	lin22	lin22	lin6	1998年楊煥典主編《廣西通誌·漢語方言誌》P741	苦楝樹	
2350	箋	笺	tsʰim55	tʃʰim55	cim1	1998年楊煥典主編《廣西通誌·漢語方言誌》P741	便箋，信箋	
2351	薦	荐	tsin33	tʃin33	zin3	1998年楊煥典主編《廣西通誌·漢語方言誌》P741	推薦，棕薦，稿薦	
2352	節	节	tsit3	tʃit3	zit3	1998年楊煥典主編《廣西通誌·漢語方言誌》P741	竹節，節約	
2353	千	千	tsʰin55	tʃʰin55	cin1	1998年楊煥典主編《廣西通誌·漢語方言誌》P741	數字，千萬	
2354	切	切	tsʰit3	tʃʰit3	cit3	1998年楊煥典主編《廣西通誌·漢語方言誌》P741	切開，迫切	
2355	前	前	tsʰin21	tʃʰin21	cin4	1998年楊煥典主編《廣西通誌·漢語方言誌》P741	前後，從前	
2356	截	截	tsit3	tʃit3	zit3	1998年楊煥典主編《廣西通誌·漢語方言誌》P741	斬釘截鐵，截斷	
2357	先	先	ɬin55	ɬin55	slin1	1998年楊煥典主編《廣西通誌·漢語方言誌》P741	祖先，先進	
2358	屑	屑	ɬit3	ɬit3	slit3	1998年楊煥典主編《廣西通誌·漢語方言誌》P741，742	木屑，不屑一顧	
2359	楔	楔	ɬit3	ɬit3	slit3	1998年楊煥典主編《廣西通誌·漢語方言誌》P742	楔子	
2360	肩	肩	kin55	kin55	gin1	1998年楊煥典主編《廣西通誌·漢語方言誌》P742	肩膀	
2361	堅	坚	kin55	kin55	gin1	1998年楊煥典主編《廣西通誌·漢語方言誌》P742	堅強	
2362	繭	茧	kan35	kan35	gaan2	1998年楊煥典主編《廣西通誌·漢語方言誌》P742	蠶繭	
2363	繭	茧	kɛn35	kɛn35	gen2	1998年楊煥典主編《廣西通誌·漢語方言誌》P742	蠶繭	
2364	趼	趼	kan35	kan35	gaan2	1998年楊煥典主編《廣西通誌·漢語方言誌》P742		
2365	趼	趼	tsin35	tʃin35	zin2	1998年楊煥典主編《廣西通誌·漢語方言誌》P742		
2366	筧	笕	kan35	kan35	gaan2	1998年楊煥典主編《廣西通誌·漢語方言誌》P742	水筧，筧橋	
2367	見	见	kin33	kin33	gin3	1998年楊煥典主編《廣西通誌·漢語方言誌》P742	看見，見識	
2368	結	结	kit3	kit3	git3	1998年楊煥典主編《廣西通誌·漢語方言誌》P742	打結，結果	
2369	䥛	䥛	kit3	kit3	git3	1998年楊煥典主編《廣西通誌·漢語方言誌》P742	鐮刀	
2370	潔	洁	kit3	kit3	git3	1998年楊煥典主編《廣西通誌·漢語方言誌》P742	清潔，潔白	
2371	牽	牵	hin55	hin55	hin1	1998年楊煥典主編《廣西通誌·漢語方言誌》P742	牽牛花	
2372	研	研	jin21	jin21	jin4	1998年楊煥典主編《廣西通誌·漢語方言誌》P742	研究	
2373	硯	砚	jin22	jin22	jin6	1998年楊煥典主編《廣西通誌·漢語方言誌》P742	硯臺	
2374	顯	显	hin35	hin35	hin2	1998年楊煥典主編《廣西通誌·漢語方言誌》P742	明顯，顯靈	
2375	賢	贤	jin21	jin21	jin4	1998年楊煥典主編《廣西通誌·漢語方言誌》P742	聖賢，賢惠	
2376	弦	弦	jin21	jin21	jin4	1998年楊煥典主編《廣西通誌·漢語方言誌》P742	上弦月	
