ID	TRAD	SIMP	IPA_S	IPA_T	JYUTPING	SOUR	EXPL	NOTE
2259	撤	撤	tsʰit3	tʃʰit3	cit3	1998年楊煥典主編《廣西通誌·漢語方言誌》P736	撤退	
2260	徹	彻	tsʰit3	tʃʰit3	cit3	1998年楊煥典主編《廣西通誌·漢語方言誌》P736	徹底	
2261	纏	缠	tsʰin21	tʃʰin21	cin4	1998年楊煥典主編《廣西通誌·漢語方言誌》P736	盤纏，糾纏	
2262	轍	辙	tsit3	tʃit3	zit3	1998年楊煥典主編《廣西通誌·漢語方言誌》P736	南轅北轍	
2263	氈	毡	tsin55	tʃin55	zin1	1998年楊煥典主編《廣西通誌·漢語方言誌》P736	油毛氈	
2264	戰	战	tsin33	tʃin33	zin3	1998年楊煥典主編《廣西通誌·漢語方言誌》P736	戰鬥	
2265	顫	颤	tsɐn33	tʃɐn33	zan3	1998年楊煥典主編《廣西通誌·漢語方言誌》P736	顫抖，打顫	
2266	折	折	tsit3	tʃit3	zit3	1998年楊煥典主編《廣西通誌·漢語方言誌》P737	打折，折斷；弄折了	
2267	浙	浙	tsit3	tʃit3	zit3	1998年楊煥典主編《廣西通誌·漢語方言誌》P737	浙江	
2268	舌	舌	sit2	ʃit2	sit6	1998年楊煥典主編《廣西通誌·漢語方言誌》P737	舌頭，口舌	
2269	膻	膻	san55	ʃan55	saan1	1998年楊煥典主編《廣西通誌·漢語方言誌》P737		
2270	羶	膻	san55	ʃan55	saan1	1998年楊煥典主編《廣西通誌·漢語方言誌》P737		
2271	搧	搧	sin55	ʃin55	sin1	1998年楊煥典主編《廣西通誌·漢語方言誌》P737	搧扇子	
2272	扇	扇	sin33	ʃin33	sin3	1998年楊煥典主編《廣西通誌·漢語方言誌》P737	芭蕉扇	
2273	設	设	tsʰit3	tʃʰit3	cit3	1998年楊煥典主編《廣西通誌·漢語方言誌》P737	建設，設計	
2274	蟬	蝉	sim21	ʃim21	sim4	1998年楊煥典主編《廣西通誌·漢語方言誌》P737	蟬兒，蟬蛻	
2275	禪	禅	sin21	ʃin21	sin4	1998年楊煥典主編《廣西通誌·漢語方言誌》P737	禪師，禪宗	
2276	善	善	sin22	ʃin22	sin6	1998年楊煥典主編《廣西通誌·漢語方言誌》P737	善良，面善	
2277	膳	膳	sin22	ʃin22	sin6	1998年楊煥典主編《廣西通誌·漢語方言誌》P737	用膳，膳食	
2278	單	单	sin22	ʃin22	sin6	1998年楊煥典主編《廣西通誌·漢語方言誌》P737	姓	
2279	禪	禅	sin22	ʃin22	sin6	1998年楊煥典主編《廣西通誌·漢語方言誌》P737	禪讓	
2280	然	然	jin21	jin21	jin4	1998年楊煥典主編《廣西通誌·漢語方言誌》P737	然後，居然	
2281	燃	燃	jin21	jin21	jin4	1998年楊煥典主編《廣西通誌·漢語方言誌》P737	點燃，燃燒	
2282	熱	热	jit2	jit2	jit6	1998年楊煥典主編《廣西通誌·漢語方言誌》P737	冷熱，熱烈	
2283	遣	遣	hin35	hin35	hin2	1998年楊煥典主編《廣西通誌·漢語方言誌》P737	遣責，派遣	
2284	乾	乾	kʰin21	kʰin21	kin4	1998年楊煥典主編《廣西通誌·漢語方言誌》P738	乾隆，乾坤	
2285	虔	虔	kʰin21	kʰin21	kin4	1998年楊煥典主編《廣西通誌·漢語方言誌》P738	虔誠	
2286	犍	犍	kin22	kin22	gin6	1998年楊煥典主編《廣西通誌·漢語方言誌》P738	犍爲縣	
2287	掮	掮	kʰin21	kʰin21	kin4	1998年楊煥典主編《廣西通誌·漢語方言誌》P738	掮客（中介），扛	
2288	件	件	kin22	kin22	gin6	1998年楊煥典主編《廣西通誌·漢語方言誌》P738	一件，事件	
2289	傑	杰	kit2	kit2	git6	1998年楊煥典主編《廣西通誌·漢語方言誌》P738	傑出，豪傑	
2290	杰	杰	kit2	kit2	git6	1998年楊煥典主編《廣西通誌·漢語方言誌》P738		
2291	諺	谚	jin33	jin33	jin3	1998年楊煥典主編《廣西通誌·漢語方言誌》P738	諺語	
2292	孽	孽	nit2	nit2	nit6	1998年楊煥典主編《廣西通誌·漢語方言誌》P738	作孽	
2293	蔫	蔫	nin55	nin55	nin1	1998年楊煥典主編《廣西通誌·漢語方言誌》P738，739	食物不新鮮；花蔫了	
2294	焉	焉	jin55	jin55	jin1	1998年楊煥典主編《廣西通誌·漢語方言誌》P738	心不在焉	
2295	延	延	jin21	jin21	jin4	1998年楊煥典主編《廣西通誌·漢語方言誌》P738	延安，拖延	
2296	筵	筵	jin21	jin21	jin4	1998年楊煥典主編《廣西通誌·漢語方言誌》P738	酒席	
2297	演	演	jim35	jim35	jim2	1998年楊煥典主編《廣西通誌·漢語方言誌》P738	表演，演出	
2298	拽	拽	jit3	jit3	jit3	1998年楊煥典主編《廣西通誌·漢語方言誌》P738	拖	
2299	犍	犍	kin33	kin33	gin3	1998年楊煥典主編《廣西通誌·漢語方言誌》P738	閹割過的牛，犍子	
2300	犍	犍	tsin35	tʃin35	zin2	1998年楊煥典主編《廣西通誌·漢語方言誌》P738	閹割過的牛，犍子	
2301	建	建	kin33	kin33	gin3	1998年楊煥典主編《廣西通誌·漢語方言誌》P738	建設，新建	
2302	揭	揭	kʰit3	kʰit3	kit3	1998年楊煥典主編《廣西通誌·漢語方言誌》P738	揭開，揭蓋	
2303	鍵	键	kin22	kin22	gin6	1998年楊煥典主編《廣西通誌·漢語方言誌》P738	關鍵，鍵盤	
2304	健	健	kin22	kin22	gin6	1998年楊煥典主編《廣西通誌·漢語方言誌》P739	健康，老人體健	
