ID	繁體	簡體	IPA_S	IPA_T	粵拼	來源	詞例	leimaau附註
3230	嗇	啬	ʃek3	ʃek3	sik2	1998年廣西地方誌編纂委員會《廣西通誌（漢語方言誌）》P794	吝嗇。	
3231	蒸	蒸	ʧeŋ53	tʃeŋ53	zing1	1998年廣西地方誌編纂委員會《廣西通誌（漢語方言誌）》P794	清蒸，蒸發。	
3232	拯	拯	ʧeŋ33	tʃeŋ33	zing2	1998年廣西地方誌編纂委員會《廣西通誌（漢語方言誌）》P794	拯救，包拯。	
3233	證	证	ʧeŋ55	tʃeŋ55	zing3	1998年廣西地方誌編纂委員會《廣西通誌（漢語方言誌）》P794	證明，作證。	
3234	症	症	ʧeŋ55	tʃeŋ55	zing3	1998年廣西地方誌編纂委員會《廣西通誌（漢語方言誌）》P794	病症，症狀。	
3235	織	织	ʧek3	tʃek3	zik2	1998年廣西地方誌編纂委員會《廣西通誌（漢語方言誌）》P794	織布，紡織。	
3236	職	职	ʧek3	tʃek3	zik2	1998年廣西地方誌編纂委員會《廣西通誌（漢語方言誌）》P794	稱職，職務。	
3237	稱	称	ʧʰeŋ53	tʃʰeŋ53	cing1	1998年廣西地方誌編纂委員會《廣西通誌（漢語方言誌）》P794	稱呼，稱重。	
3238	稱	称	ʧʰeŋ55	tʃʰeŋ55	cing3	1998年廣西地方誌編纂委員會《廣西通誌（漢語方言誌）》P794	相稱，稱心。	
3239	秤	秤	ʧʰeŋ55	tʃʰeŋ55	cing3	1998年廣西地方誌編纂委員會《廣西通誌（漢語方言誌）》P794	桿秤。	
3240	乘	乘	ʃeŋ21	ʃeŋ21	sing4	1998年廣西地方誌編纂委員會《廣西通誌（漢語方言誌）》P794	乘法，乘坐。	
3241	繩	绳	ʃeŋ21	ʃeŋ21	sing4	1998年廣西地方誌編纂委員會《廣西通誌（漢語方言誌）》P794	繩子，麻繩。	
3242	塍	塍	ʃeŋ21	ʃeŋ21	sing4	1998年廣西地方誌編纂委員會《廣西通誌（漢語方言誌）》P794	田塍。	
3243	剩	剩	ʃeŋ22	ʃeŋ22	sing6	1998年廣西地方誌編纂委員會《廣西通誌（漢語方言誌）》P794	剩菜，剩餘。	
3244	食	食	ʃek2	ʃek2	sik6	1998年廣西地方誌編纂委員會《廣西通誌（漢語方言誌）》P794	吃，食物，糧食。	
3245	蝕	蚀	ʃek2	ʃek2	sik6	1998年廣西地方誌編纂委員會《廣西通誌（漢語方言誌）》P794	月蝕，腐蝕。	
3246	升	升	ʃeŋ53	ʃeŋ53	sing1	1998年廣西地方誌編纂委員會《廣西通誌（漢語方言誌）》P794	升級，上升。	
3247	勝	胜	ʃeŋ55	ʃeŋ55	sing3	1998年廣西地方誌編纂委員會《廣西通誌（漢語方言誌）》P794	勝敗，戰勝。	
3248	式	式	ʃek3	ʃek3	sik2	1998年廣西地方誌編纂委員會《廣西通誌（漢語方言誌）》P795	式樣，樣式。	
3249	識	识	ʃek3	ʃek3	sik2	1998年廣西地方誌編纂委員會《廣西通誌（漢語方言誌）》P795	認識，識別。	
3250	飾	饰	ʃek3	ʃek3	sik2	1998年廣西地方誌編纂委員會《廣西通誌（漢語方言誌）》P795	裝飾，首飾。	
3251	承	承	ʃeŋ21	ʃeŋ21	sing4	1998年廣西地方誌編纂委員會《廣西通誌（漢語方言誌）》P795	承擔，繼承。	
3252	丞	丞	ʃeŋ21	ʃeŋ21	sing4	1998年廣西地方誌編纂委員會《廣西通誌（漢語方言誌）》P795	丞相。	
3253	植	植	ʧek2	tʃek2	zik6	1998年廣西地方誌編纂委員會《廣西通誌（漢語方言誌）》P795	植物，種植。	
3254	殖	殖	ʧek2	tʃek2	zik6	1998年廣西地方誌編纂委員會《廣西通誌（漢語方言誌）》P795	繁殖，骨殖。	
3255	仍	仍	ŋeŋ21	ŋeŋ21	nging4	1998年廣西地方誌編纂委員會《廣西通誌（漢語方言誌）》P795	仍然，仍舊。	
