ID	TRAD	SIMP	IPA_S	IPA_T	JYUTPING	SOUR	EXPL	NOTE
206	也	也	ja24	ja24	jaa5	2009年陳海倫、林亦《粵語平話土話方音字彙》P23		
207	野	野	jɛ24	jɛ24	je5	2009年陳海倫、林亦《粵語平話土話方音字彙》P23		
208	夜	夜	jɛ22	jɛ22	je6	2009年陳海倫、林亦《粵語平話土話方音字彙》P24		
209	傻	傻	ɬɔ21	ɬɔ21	slo4	2009年陳海倫、林亦《粵語平話土話方音字彙》P25		
210	耍	耍	sa35	ʃa35	saa2	2009年陳海倫、林亦《粵語平話土話方音字彙》P25		
211	瓜	瓜	kua55	kʷa55	gwaa1	2009年陳海倫、林亦《粵語平話土話方音字彙》P24		
212	蝸	蜗	wɔ55	wɔ55	wo1	2009年陳海倫、林亦《粵語平話土話方音字彙》P24		
213	寡	寡	kua35	kʷa35	gwaa2	2009年陳海倫、林亦《粵語平話土話方音字彙》P25		
214	剮	剐	kua35	kʷa35	gwaa2	2009年陳海倫、林亦《粵語平話土話方音字彙》P25		
215	誇	夸	kʰua55	kʷʰa55	kwaa1	2009年陳海倫、林亦《粵語平話土話方音字彙》P24		
216	垮	垮	kʰua55	kʷʰa55	kwaa1	2009年陳海倫、林亦《粵語平話土話方音字彙》P25		
217	垮	垮	kʰua35	kʷʰa35	kwaa2	2009年陳海倫、林亦《粵語平話土話方音字彙》P25		
218	跨	跨	kʰua55	kʷʰa55	kwaa1	2009年陳海倫、林亦《粵語平話土話方音字彙》P26		
219	瓦	瓦	ŋa24	ŋa24	ngaa5	2009年陳海倫、林亦《粵語平話土話方音字彙》P26	磚瓦	
220	花	花	fa55	fa55	faa1	2009年陳海倫、林亦《粵語平話土話方音字彙》P24		
221	化	化	fa33	fa33	faa3	2009年陳海倫、林亦《粵語平話土話方音字彙》P26	分化	
222	鏵	铧	wa21	wa21	waa4	2009年陳海倫、林亦《粵語平話土話方音字彙》P25		
223	划	划	wa55	wa55	waa1	2009年陳海倫、林亦《粵語平話土話方音字彙》P25		
224	划	划	wa21	wa21	waa4	2009年陳海倫、林亦《粵語平話土話方音字彙》P25		
225	華	华	wa21	wa21	waa4	2009年陳海倫、林亦《粵語平話土話方音字彙》P25，26	中華；姓	
226	樺	桦	wa21	wa21	waa4	2009年陳海倫、林亦《粵語平話土話方音字彙》P26		
227	蛙	蛙	wa55	wa55	waa1	2009年陳海倫、林亦《粵語平話土話方音字彙》P25		
228	布	布	pu33	pu33	bu3	2009年陳海倫、林亦《粵語平話土話方音字彙》P34	布匹	
229	佈	布	pu33	pu33	bu3	2009年陳海倫、林亦《粵語平話土話方音字彙》P35	宣佈	
230	鋪	铺	pʰu55	pʰu55	pu1	2009年陳海倫、林亦《粵語平話土話方音字彙》P26	鋪設	
231	鋪	铺	pʰu33	pʰu33	pu3	2009年陳海倫、林亦《粵語平話土話方音字彙》P35	店鋪	
232	菩	菩	pʰɔ21	pʰɔ21	po4	2009年陳海倫、林亦《粵語平話土話方音字彙》P26		
233	脯	脯	pʰu21	pʰu21	pu4	2009年陳海倫、林亦《粵語平話土話方音字彙》P26	胸脯	
234	部	部	pu22	pu22	bu6	2009年陳海倫、林亦《粵語平話土話方音字彙》P31		
235	簿	簿	pu22	pu22	bu6	2009年陳海倫、林亦《粵語平話土話方音字彙》P32		
236	埠	埠	pu22	pu22	bu6	2009年陳海倫、林亦《粵語平話土話方音字彙》P35		
237	模	模	mɔ55	mɔ55	mo1	2009年陳海倫、林亦《粵語平話土話方音字彙》P27	勞模；模子	
238	摹	摹	mɔ21	mɔ21	mo4	2009年陳海倫、林亦《粵語平話土話方音字彙》P27	臨摹	
239	暮	暮	mu22	mu22	mu6	2009年陳海倫、林亦《粵語平話土話方音字彙》P35		
240	慕	慕	mu22	mu22	mu6	2009年陳海倫、林亦《粵語平話土話方音字彙》P35		
241	墓	墓	mu22	mu22	mu6	2009年陳海倫、林亦《粵語平話土話方音字彙》P35		
242	募	募	mu22	mu22	mu6	2009年陳海倫、林亦《粵語平話土話方音字彙》P35		
243	都	都	tu55	tu55	du1	2009年陳海倫、林亦《粵語平話土話方音字彙》P27	都城；都是	
244	堵	堵	tu35	tu35	du2	2009年陳海倫、林亦《粵語平話土話方音字彙》P32		
245	賭	赌	tu35	tu35	du2	2009年陳海倫、林亦《粵語平話土話方音字彙》P32		
246	肚	肚	tʰu24	tʰu24	tu5	2009年陳海倫、林亦《粵語平話土話方音字彙》P32	豬肚；肚子	
247	妬	妒	tu22	tu22	du6	2009年陳海倫、林亦《粵語平話土話方音字彙》P36		
248	妒	妒	tu22	tu22	du6	2009年陳海倫、林亦《粵語平話土話方音字彙》P36		
249	土	土	tʰu35	tʰu35	tu2	2009年陳海倫、林亦《粵語平話土話方音字彙》P32		
250	吐	吐	tʰu33	tʰu33	tu3	2009年陳海倫、林亦《粵語平話土話方音字彙》P32，36	吐痰；嘔吐	
251	兔	兔	tʰu33	tʰu33	tu3	2009年陳海倫、林亦《粵語平話土話方音字彙》P36		
252	途	途	tʰu21	tʰu21	tu4	2009年陳海倫、林亦《粵語平話土話方音字彙》P28		
253	屠	屠	tʰu21	tʰu21	tu4	2009年陳海倫、林亦《粵語平話土話方音字彙》P28		
254	徒	徒	tʰu21	tʰu21	tu4	2009年陳海倫、林亦《粵語平話土話方音字彙》P27		
255	塗	涂	tʰu21	tʰu21	tu4	2009年陳海倫、林亦《粵語平話土話方音字彙》P27		
256	圖	图	tʰu21	tʰu21	tu4	2009年陳海倫、林亦《粵語平話土話方音字彙》P27		
257	杜	杜	tu22	tu22	du6	2009年陳海倫、林亦《粵語平話土話方音字彙》P32		
258	度	度	tu22	tu22	du6	2009年陳海倫、林亦《粵語平話土話方音字彙》P36	法度	
259	渡	渡	tu22	tu22	du6	2009年陳海倫、林亦《粵語平話土話方音字彙》P36		
260	鍍	镀	tu22	tu22	du6	2009年陳海倫、林亦《粵語平話土話方音字彙》P36		
261	奴	奴	nu21	nu21	nu4	2009年陳海倫、林亦《粵語平話土話方音字彙》P28		
262	努	努	nu24	nu24	nu5	2009年陳海倫、林亦《粵語平話土話方音字彙》P32		
263	怒	怒	nu22	nu22	nu6	2009年陳海倫、林亦《粵語平話土話方音字彙》P36		
264	盧	卢	lu21	lu21	lu4	2009年陳海倫、林亦《粵語平話土話方音字彙》P31		
265	爐	炉	lu21	lu21	lu4	2009年陳海倫、林亦《粵語平話土話方音字彙》P31		
266	蘆	芦	lu21	lu21	lu4	2009年陳海倫、林亦《粵語平話土話方音字彙》P31		
267	鸕	鸬	lu21	lu21	lu4	2009年陳海倫、林亦《粵語平話土話方音字彙》P31		
268	魯	鲁	lu24	lu24	lu5	2009年陳海倫、林亦《粵語平話土話方音字彙》P34		
269	櫓	橹	lu24	lu24	lu5	2009年陳海倫、林亦《粵語平話土話方音字彙》P34		
270	虜	虏	lu24	lu24	lu5	2009年陳海倫、林亦《粵語平話土話方音字彙》P34		
271	滷	卤	lu24	lu24	lu5	2009年陳海倫、林亦《粵語平話土話方音字彙》P34		
272	路	路	lu22	lu22	lu6	2009年陳海倫、林亦《粵語平話土話方音字彙》P38		
273	賂	赂	lu22	lu22	lu6	2009年陳海倫、林亦《粵語平話土話方音字彙》P38		
274	露	露	lu22	lu22	lu6	2009年陳海倫、林亦《粵語平話土話方音字彙》P38		
275	鷺	鹭	lu22	lu22	lu6	2009年陳海倫、林亦《粵語平話土話方音字彙》P39		
276	租	租	tsu55	tʃu55	zu1	2009年陳海倫、林亦《粵語平話土話方音字彙》P28		
277	祖	祖	tsu35	tʃu35	zu2	2009年陳海倫、林亦《粵語平話土話方音字彙》P33		
278	組	组	tsu35	tʃu35	zu2	2009年陳海倫、林亦《粵語平話土話方音字彙》P32		
279	做	做	tsu33	tʃu33	zu3	2009年陳海倫、林亦《粵語平話土話方音字彙》P5		
280	粗	粗	tsʰu55	tʃʰu55	cu1	2009年陳海倫、林亦《粵語平話土話方音字彙》P28		
281	醋	醋	tsʰu33	tʃʰu33	cu3	2009年陳海倫、林亦《粵語平話土話方音字彙》P36		
282	措	措	tsʰɔ33	tʃʰɔ33	co3	2009年陳海倫、林亦《粵語平話土話方音字彙》P36		原文誤作[tsʰɔ22]
283	錯	错	tsʰɔ33	tʃʰɔ33	co3	2009年陳海倫、林亦《粵語平話土話方音字彙》P286	錯誤；交錯	
284	蘇	苏	ɬu55	ɬu55	slu1	2009年陳海倫、林亦《粵語平話土話方音字彙》P28		
285	酥	酥	ɬu55	ɬu55	slu1	2009年陳海倫、林亦《粵語平話土話方音字彙》P28		
286	素	素	ɬu33	ɬu33	slu3	2009年陳海倫、林亦《粵語平話土話方音字彙》P37		
287	訴	诉	ɬu33	ɬu33	slu3	2009年陳海倫、林亦《粵語平話土話方音字彙》P36		
288	塑	塑	ɬɔk3	ɬɔk3	slok3	2009年陳海倫、林亦《粵語平話土話方音字彙》P37		
289	嗉	嗉	ɬui33	ɬui33	slui3	2009年陳海倫、林亦《粵語平話土話方音字彙》P37		
290	嗉	嗉	ɬy33	ɬy33	slyu3	2009年陳海倫、林亦《粵語平話土話方音字彙》P37		
291	姑	姑	ku55	ku55	gu1	2009年陳海倫、林亦《粵語平話土話方音字彙》P28		
292	孤	孤	ku55	ku55	gu1	2009年陳海倫、林亦《粵語平話土話方音字彙》P28		
293	箍	箍	kʰu55	kʰu55	ku1	2009年陳海倫、林亦《粵語平話土話方音字彙》P29		
294	古	古	ku35	ku35	gu2	2009年陳海倫、林亦《粵語平話土話方音字彙》P33		
295	估	估	ku55	ku55	gu1	2009年陳海倫、林亦《粵語平話土話方音字彙》P33		
296	估	估	ku35	ku35	gu2	2009年陳海倫、林亦《粵語平話土話方音字彙》P33		
297	牯	牯	ku35	ku35	gu2	2009年陳海倫、林亦《粵語平話土話方音字彙》P33		
298	股	股	ku55	ku55	gu1	2009年陳海倫、林亦《粵語平話土話方音字彙》P33	屁股	
299	股	股	ku35	ku35	gu2	2009年陳海倫、林亦《粵語平話土話方音字彙》P33	入股	
300	鼓	鼓	ku35	ku35	gu2	2009年陳海倫、林亦《粵語平話土話方音字彙》P33		
301	故	故	ku33	ku33	gu3	2009年陳海倫、林亦《粵語平話土話方音字彙》P37		
302	固	固	ku33	ku33	gu3	2009年陳海倫、林亦《粵語平話土話方音字彙》P37		
303	雇	雇	ku33	ku33	gu3	2009年陳海倫、林亦《粵語平話土話方音字彙》P37		
304	顧	顾	ku33	ku33	gu3	2009年陳海倫、林亦《粵語平話土話方音字彙》P37		
305	枯	枯	kʰu55	kʰu55	ku1	2009年陳海倫、林亦《粵語平話土話方音字彙》P29		
306	枯	枯	fu55	fu55	fu1	2009年陳海倫、林亦《粵語平話土話方音字彙》P29		
307	苦	苦	fu35	fu35	fu2	2009年陳海倫、林亦《粵語平話土話方音字彙》P33		
308	庫	库	fu33	fu33	fu3	2009年陳海倫、林亦《粵語平話土話方音字彙》P37		
309	褲	裤	fu33	fu33	fu3	2009年陳海倫、林亦《粵語平話土話方音字彙》P37		
310	蜈	蜈	ŋ̍21	ŋ̍21	ng4	2009年陳海倫、林亦《粵語平話土話方音字彙》P29		
311	吾	吾	ŋ̍21	ŋ̍21	ng4	2009年陳海倫、林亦《粵語平話土話方音字彙》P29		
312	梧	梧	ŋ̍21	ŋ̍21	ng4	2009年陳海倫、林亦《粵語平話土話方音字彙》P29		
313	五	五	ŋ̍24	ŋ̍24	ng5	2009年陳海倫、林亦《粵語平話土話方音字彙》P33		
314	伍	伍	ŋ̍24	ŋ̍24	ng5	2009年陳海倫、林亦《粵語平話土話方音字彙》P33		
315	午	午	ŋ̍24	ŋ̍24	ng5	2009年陳海倫、林亦《粵語平話土話方音字彙》P33		
316	誤	误	ŋ̍22	ŋ̍22	ng6	2009年陳海倫、林亦《粵語平話土話方音字彙》P38		
317	悟	悟	ŋ̍22	ŋ̍22	ng6	2009年陳海倫、林亦《粵語平話土話方音字彙》P38		
318	呼	呼	fu55	fu55	fu1	2009年陳海倫、林亦《粵語平話土話方音字彙》P29		
319	虎	虎	fu35	fu35	fu2	2009年陳海倫、林亦《粵語平話土話方音字彙》P34		
320	滸	浒	fu35	fu35	fu2	2009年陳海倫、林亦《粵語平話土話方音字彙》P34		
321	戽	戽	fu33	fu33	fu3	2009年陳海倫、林亦《粵語平話土話方音字彙》P38		
322	胡	胡	wu21	wu21	wu4	2009年陳海倫、林亦《粵語平話土話方音字彙》P30	胡人	
323	湖	湖	wu21	wu21	wu4	2009年陳海倫、林亦《粵語平話土話方音字彙》P30		
324	狐	狐	wu21	wu21	wu4	2009年陳海倫、林亦《粵語平話土話方音字彙》P29		
325	壺	壶	wu21	wu21	wu4	2009年陳海倫、林亦《粵語平話土話方音字彙》P30		
326	乎	乎	fu55	fu55	fu1	2009年陳海倫、林亦《粵語平話土話方音字彙》P29		
327	瓠	瓠	kʰu21	kʰu21	ku4	2009年陳海倫、林亦《粵語平話土話方音字彙》P30	葫蘆	
328	瓠	瓠	pʰu21	pʰu21	pu4	2009年陳海倫、林亦《粵語平話土話方音字彙》P30，38	葫蘆；瓠瓜	
329	鬍	胡	wu21	wu21	wu4	2009年陳海倫、林亦《粵語平話土話方音字彙》P30	鬍鬚	
330	戶	户	wu22	wu22	wu6	2009年陳海倫、林亦《粵語平話土話方音字彙》P34		
331	滬	沪	wu22	wu22	wu6	2009年陳海倫、林亦《粵語平話土話方音字彙》P34		
332	互	互	ŋ̍22	ŋ̍22	ng6	2009年陳海倫、林亦《粵語平話土話方音字彙》P38		
333	護	护	wu22	wu22	wu6	2009年陳海倫、林亦《粵語平話土話方音字彙》P38		
334	烏	乌	wu55	wu55	wu1	2009年陳海倫、林亦《粵語平話土話方音字彙》P30		
335	污	污	wu55	wu55	wu1	2009年陳海倫、林亦《粵語平話土話方音字彙》P30		
