ID	TRAD	SIMP	IPA_S	IPA_T	JYUTPING	SOUR	EXPL	NOTE
1157	跑	跑	pʰau33	pʰau33	paau2	2009年陳海倫、林亦《粵語平話土話方音字彙》P133		
1158	刨	刨	pau21	pau21	baau4	2009年陳海倫、林亦《粵語平話土話方音字彙》P133	削也	
1159	刨	刨	pau22	pau22	baau6	2009年陳海倫、林亦《粵語平話土話方音字彙》P137	刨刀	
1160	鮑	鲍	pau53	pau53	baau1	2009年陳海倫、林亦《粵語平話土話方音字彙》P135		
1161	茅	茅	mau21	mau21	maau4	2009年陳海倫、林亦《粵語平話土話方音字彙》P133		
1162	貓	猫	meu55	mɛu55	meu3	2009年陳海倫、林亦《粵語平話土話方音字彙》P133		
1163	貓	猫	mau55	mau55	maau3	2009年陳海倫、林亦《粵語平話土話方音字彙》P133		
1164	卯	卯	mau24	mau24	maau5	2009年陳海倫、林亦《粵語平話土話方音字彙》P135		
1165	貌	貌	mau22	mau22	maau6	2009年陳海倫、林亦《粵語平話土話方音字彙》P137		
1166	鬧	闹	nau22	nau22	naau6	2009年陳海倫、林亦《粵語平話土話方音字彙》P137		
1167	罩	罩	tsau55	tʃau55	zaau3	2009年陳海倫、林亦《粵語平話土話方音字彙》P137		
1168	櫂	棹	tsau22	tʃau22	zaau6	2009年陳海倫、林亦《粵語平話土話方音字彙》P137		
1169	棹	棹	tsau22	tʃau22	zaau6	2009年陳海倫、林亦《粵語平話土話方音字彙》P137		
1170	抓	抓	tsa53	tʃa53	zaa1	2009年陳海倫、林亦《粵語平話土話方音字彙》P134		
1171	爪	爪	tsau33	tʃau33	zaau2	2009年陳海倫、林亦《粵語平話土話方音字彙》P136		
1172	抄	抄	tsʰau53	tʃʰau53	caau1	2009年陳海倫、林亦《粵語平話土話方音字彙》P134		
1173	炒	炒	tsʰau33	tʃʰau33	caau2	2009年陳海倫、林亦《粵語平話土話方音字彙》P136		
1174	吵	吵	tsʰau33	tʃʰau33	caau2	2009年陳海倫、林亦《粵語平話土話方音字彙》P136		原文誤作[tsau33]
1175	巢	巢	tsau21	tʃau21	zaau4	2009年陳海倫、林亦《粵語平話土話方音字彙》P134		
1176	梢	梢	ɬiu53	ɬiu53	sliu1	2009年陳海倫、林亦《粵語平話土話方音字彙》P134		
1177	捎	捎	ɬiu53	ɬiu53	sliu1	2009年陳海倫、林亦《粵語平話土話方音字彙》P134		
1178	稍	稍	ɬiu53	ɬiu53	sliu1	2009年陳海倫、林亦《粵語平話土話方音字彙》P138		
1179	潲	潲	sau55	ʃau55	saau3	2009年陳海倫、林亦《粵語平話土話方音字彙》P138		
1180	交	交	kau53	kau53	gaau1	2009年陳海倫、林亦《粵語平話土話方音字彙》P134		
1181	膠	胶	keu53	kɛu53	geu1	2009年陳海倫、林亦《粵語平話土話方音字彙》P135		
1182	教	教	kau53	kau53	gaau1	2009年陳海倫、林亦《粵語平話土話方音字彙》P135	教書	
1183	郊	郊	kau53	kau53	gaau1	2009年陳海倫、林亦《粵語平話土話方音字彙》P134		
1184	絞	绞	keu33	kɛu33	geu2	2009年陳海倫、林亦《粵語平話土話方音字彙》P136		
1185	狡	狡	keu33	kɛu33	geu2	2009年陳海倫、林亦《粵語平話土話方音字彙》P136		
1186	鉸	铰	kau33	kau33	gaau2	2009年陳海倫、林亦《粵語平話土話方音字彙》P136		
1187	搞	搞	kau33	kau33	gaau2	2009年陳海倫、林亦《粵語平話土話方音字彙》P136		
1188	攪	搅	keu33	kɛu33	geu2	2009年陳海倫、林亦《粵語平話土話方音字彙》P136		
1189	教	教	kau55	kau55	gaau3	2009年陳海倫、林亦《粵語平話土話方音字彙》P138	教訓	
1190	較	较	kau55	kau55	gaau3	2009年陳海倫、林亦《粵語平話土話方音字彙》P138		
1191	酵	酵	kau55	kau55	gaau3	2009年陳海倫、林亦《粵語平話土話方音字彙》P138		
1192	校	校	kau55	kau55	gaau3	2009年陳海倫、林亦《粵語平話土話方音字彙》P138，139	校對；上校	
1193	校	校	kʰau55	kʰau55	kaau3	2009年陳海倫、林亦《粵語平話土話方音字彙》P139	學校	
1194	覺	觉	kau55	kau55	gaau3	2009年陳海倫、林亦《粵語平話土話方音字彙》P138	睡覺	
1195	窖	窖	kau55	kau55	gaau3	2009年陳海倫、林亦《粵語平話土話方音字彙》P138		
1196	敲	敲	hau53	hau53	haau1	2009年陳海倫、林亦《粵語平話土話方音字彙》P135		
1197	巧	巧	kʰiu33	kʰiu33	kiu2	2009年陳海倫、林亦《粵語平話土話方音字彙》P136		
1198	咬	咬	ɲau24	ȵau24	njaau5	2009年陳海倫、林亦《粵語平話土話方音字彙》P137		
1199	孝	孝	hau55	hau55	haau3	2009年陳海倫、林亦《粵語平話土話方音字彙》P138		
1200	淆	淆	ŋau21	ŋau21	ngaau4	2009年陳海倫、林亦《粵語平話土話方音字彙》P135		
1201	肴	肴	ŋau21	ŋau21	ngaau4	2009年陳海倫、林亦《粵語平話土話方音字彙》P135	菜肴	
1202	餚	肴	ŋau21	ŋau21	ngaau4	2009年陳海倫、林亦《粵語平話土話方音字彙》P135	菜餚	
1203	效	效	hau22	hau22	haau6	2009年陳海倫、林亦《粵語平話土話方音字彙》P139		
1204	坳	坳	∅au53	∅au53	aau1	2009年陳海倫、林亦《粵語平話土話方音字彙》P139		
1205	標	标	piu53	piu53	biu1	2009年陳海倫、林亦《粵語平話土話方音字彙》P139		
1206	表	表	piu33	piu33	biu2	2009年陳海倫、林亦《粵語平話土話方音字彙》P144	表現	
1207	錶	表	piu53	piu53	biu1	2009年陳海倫、林亦《粵語平話土話方音字彙》P144	手錶	
1208	飄	飘	pʰiu53	pʰiu53	piu1	2009年陳海倫、林亦《粵語平話土話方音字彙》P139		
1209	票	票	pʰiu55	pʰiu55	piu3	2009年陳海倫、林亦《粵語平話土話方音字彙》P146		
1210	漂	漂	pʰiu55	pʰiu55	piu3	2009年陳海倫、林亦《粵語平話土話方音字彙》P144		
