ID	TRAD	SIMP	IPA_S	IPA_T	JYUTPING	SOUR	EXPL	NOTE
1284	遭	遭	tsu55	tʃu55	zu1	2009年陳海倫、林亦《粵語平話土話方音字彙》P124		
1285	早	早	tsu35	tʃu35	zu2	2009年陳海倫、林亦《粵語平話土話方音字彙》P128		
1286	棗	枣	tsu35	tʃu35	zu2	2009年陳海倫、林亦《粵語平話土話方音字彙》P128		
1287	蚤	蚤	tsu35	tʃu35	zu2	2009年陳海倫、林亦《粵語平話土話方音字彙》P128		
1288	澡	澡	tsu35	tʃu35	zu2	2009年陳海倫、林亦《粵語平話土話方音字彙》P128		
1289	竈	灶	tsu33	tʃu33	zu3	2009年陳海倫、林亦《粵語平話土話方音字彙》P131		
1290	灶	灶	tsu33	tʃu33	zu3	2009年陳海倫、林亦《粵語平話土話方音字彙》P131		
1291	躁	躁	tsʰu33	tʃʰu33	cu3	2009年陳海倫、林亦《粵語平話土話方音字彙》P131		
1292	操	操	tsʰu55	tʃʰu55	cu1	2009年陳海倫、林亦《粵語平話土話方音字彙》P124		
1293	草	草	tsʰu35	tʃʰu35	cu2	2009年陳海倫、林亦《粵語平話土話方音字彙》P128		
1294	騲	草	tsʰu35	tʃʰu35	cu2	2009年陳海倫、林亦《粵語平話土話方音字彙》P128		
1295	糙	糙	tsʰu33	tʃʰu33	cu3	2009年陳海倫、林亦《粵語平話土話方音字彙》P131		
1296	曹	曹	tsʰu21	tʃʰu21	cu4	2009年陳海倫、林亦《粵語平話土話方音字彙》P124		
1297	槽	槽	tsʰu21	tʃʰu21	cu4	2009年陳海倫、林亦《粵語平話土話方音字彙》P124		
1298	造	造	tsu22	tʃu22	zu6	2009年陳海倫、林亦《粵語平話土話方音字彙》P128		
1299	皂	皂	tsu22	tʃu22	zu6	2009年陳海倫、林亦《粵語平話土話方音字彙》P128		
1300	皁	皂	tsu22	tʃu22	zu6	2009年陳海倫、林亦《粵語平話土話方音字彙》P128		
1301	騷	骚	ɬu55	ɬu55	slu1	2009年陳海倫、林亦《粵語平話土話方音字彙》P124		
1302	臊	臊	ɬu55	ɬu55	slu1	2009年陳海倫、林亦《粵語平話土話方音字彙》P124		
1303	嫂	嫂	ɬu35	ɬu35	slu2	2009年陳海倫、林亦《粵語平話土話方音字彙》P129		
1304	掃	扫	ɬu33	ɬu33	slu3	2009年陳海倫、林亦《粵語平話土話方音字彙》P128，131	掃地；掃帚	
1305	高	高	ku55	ku55	gu1	2009年陳海倫、林亦《粵語平話土話方音字彙》P125		
1306	膏	膏	ku55	ku55	gu1	2009年陳海倫、林亦《粵語平話土話方音字彙》P125，131	牙膏；動詞	
1307	篙	篙	ku55	ku55	gu1	2009年陳海倫、林亦《粵語平話土話方音字彙》P125		
1308	糕	糕	ku55	ku55	gu1	2009年陳海倫、林亦《粵語平話土話方音字彙》P125		
1309	羔	羔	ku55	ku55	gu1	2009年陳海倫、林亦《粵語平話土話方音字彙》P125		
1310	稿	稿	ku35	ku35	gu2	2009年陳海倫、林亦《粵語平話土話方音字彙》P129		
1311	告	告	ku33	ku33	gu3	2009年陳海倫、林亦《粵語平話土話方音字彙》P131		
1312	考	考	hau35	hau35	haau2	2009年陳海倫、林亦《粵語平話土話方音字彙》P129		
1313	攷	考	hau35	hau35	haau2	2009年陳海倫、林亦《粵語平話土話方音字彙》P129		
1314	烤	烤	hau55	hau55	haau1	2009年陳海倫、林亦《粵語平話土話方音字彙》P129		
1315	靠	靠	kʰau33	kʰau33	kaau3	2009年陳海倫、林亦《粵語平話土話方音字彙》P131		
1316	犒	犒	kʰau33	kʰau33	kaau3	2009年陳海倫、林亦《粵語平話土話方音字彙》P131		
1317	熬	熬	ŋu21	ŋu21	ngu4	2009年陳海倫、林亦《粵語平話土話方音字彙》P125	熬夜	
1318	熬	熬	ŋau21	ŋau21	ngaau4	2009年陳海倫、林亦《粵語平話土話方音字彙》P125，126	熬夜；熬肉	
1319	傲	傲	ŋu22	ŋu22	ngu6	2009年陳海倫、林亦《粵語平話土話方音字彙》P132		
1320	蒿	蒿	hu55	hu55	hu1	2009年陳海倫、林亦《粵語平話土話方音字彙》P125		
1321	薅	薅	hau55	hau55	haau1	2009年陳海倫、林亦《粵語平話土話方音字彙》P125		
1322	好	好	hu35	hu35	hu2	2009年陳海倫、林亦《粵語平話土話方音字彙》P129	好壞	
1323	好	好	hu33	hu33	hu3	2009年陳海倫、林亦《粵語平話土話方音字彙》P132	喜好	
1324	耗	耗	hu33	hu33	hu3	2009年陳海倫、林亦《粵語平話土話方音字彙》P132		
1325	毫	毫	hu21	hu21	hu4	2009年陳海倫、林亦《粵語平話土話方音字彙》P125		
1326	豪	豪	hu21	hu21	hu4	2009年陳海倫、林亦《粵語平話土話方音字彙》P125		
1327	壕	壕	hu21	hu21	hu4	2009年陳海倫、林亦《粵語平話土話方音字彙》P126		
1328	浩	浩	hu22	hu22	hu6	2009年陳海倫、林亦《粵語平話土話方音字彙》P129		
1329	號	号	hu22	hu22	hu6	2009年陳海倫、林亦《粵語平話土話方音字彙》P126，132	嚎；號碼	
1330	奧	奥	∅u33	∅u33	u3	2009年陳海倫、林亦《粵語平話土話方音字彙》P132		
1331	懊	懊	∅u33	∅u33	u3	2009年陳海倫、林亦《粵語平話土話方音字彙》P132		
1332	包	包	pau55	pau55	baau1	2009年陳海倫、林亦《粵語平話土話方音字彙》P132		
1333	包	包	pɛu55	pɛu55	beu1	2009年陳海倫、林亦《粵語平話土話方音字彙》P132		
1334	胞	胞	pau55	pau55	baau1	2009年陳海倫、林亦《粵語平話土話方音字彙》P132	細胞	
1335	胞	胞	pɛu55	pɛu55	beu1	2009年陳海倫、林亦《粵語平話土話方音字彙》P132	胞胎	
1336	飽	饱	pau35	pau35	baau2	2009年陳海倫、林亦《粵語平話土話方音字彙》P135		
1337	飽	饱	pɛu35	pɛu35	beu2	2009年陳海倫、林亦《粵語平話土話方音字彙》P135		
1338	豹	豹	pau33	pau33	baau3	2009年陳海倫、林亦《粵語平話土話方音字彙》P137		
1339	豹	豹	pʰɛu33	pʰɛu33	peu3	2009年陳海倫、林亦《粵語平話土話方音字彙》P137		
1340	爆	爆	pau33	pau33	baau3	2009年陳海倫、林亦《粵語平話土話方音字彙》P137		
1341	爆	爆	pɛu33	pɛu33	beu3	2009年陳海倫、林亦《粵語平話土話方音字彙》P137		
1342	爆	爆	pu22	pu22	bu6	2009年陳海倫、林亦《粵語平話土話方音字彙》P137		
1343	泡	泡	mau55	mau55	maau1	2009年陳海倫、林亦《粵語平話土話方音字彙》P133	〔白讀〕虛鬆	
1344	泡	泡	pʰau55	pʰau55	paau1	2009年陳海倫、林亦《粵語平話土話方音字彙》P133	虛鬆；起泡	
