ID	TRAD	SIMP	IPA_S	IPA_T	JYUTPING	SOUR	EXPL	NOTE
277	孤	孤	ku53	ku53	gu1	2009年陳海倫、林亦《粵語平話土話方音字彙》P28		
278	箍	箍	kʰu53	kʰu53	ku1	2009年陳海倫、林亦《粵語平話土話方音字彙》P29		
279	古	古	ku33	ku33	gu2	2009年陳海倫、林亦《粵語平話土話方音字彙》P33		
280	估	估	ku33	ku33	gu2	2009年陳海倫、林亦《粵語平話土話方音字彙》P33		
281	牯	牯	ku33	ku33	gu2	2009年陳海倫、林亦《粵語平話土話方音字彙》P33		
282	股	股	ku33	ku33	gu2	2009年陳海倫、林亦《粵語平話土話方音字彙》P33		
283	鼓	鼓	ku33	ku33	gu2	2009年陳海倫、林亦《粵語平話土話方音字彙》P33		
284	故	故	ku55	ku55	gu3	2009年陳海倫、林亦《粵語平話土話方音字彙》P37		
285	固	固	ku55	ku55	gu3	2009年陳海倫、林亦《粵語平話土話方音字彙》P37		
286	雇	雇	ku55	ku55	gu3	2009年陳海倫、林亦《粵語平話土話方音字彙》P37		
287	顧	顾	ku55	ku55	gu3	2009年陳海倫、林亦《粵語平話土話方音字彙》P37		
288	枯	枯	hu53	hu53	hu1	2009年陳海倫、林亦《粵語平話土話方音字彙》P29		
289	苦	苦	hu33	hu33	hu2	2009年陳海倫、林亦《粵語平話土話方音字彙》P33		
290	庫	库	hu55	hu55	hu3	2009年陳海倫、林亦《粵語平話土話方音字彙》P37		
291	褲	裤	hu55	hu55	hu3	2009年陳海倫、林亦《粵語平話土話方音字彙》P37		
292	吳	吴	ŋ̍21	ŋ̍21	ng4	2009年陳海倫、林亦《粵語平話土話方音字彙》P29		
293	梧	梧	∅u21	wu21	wu4	2009年陳海倫、林亦《粵語平話土話方音字彙》P29		
294	五	五	ŋ̍24	ŋ̍24	ng5	2009年陳海倫、林亦《粵語平話土話方音字彙》P33		
295	伍	伍	ŋ̍24	ŋ̍24	ng5	2009年陳海倫、林亦《粵語平話土話方音字彙》P33		
296	午	午	ŋ̍24	ŋ̍24	ng5	2009年陳海倫、林亦《粵語平話土話方音字彙》P33		
297	誤	误	ŋ̍22	ŋ̍22	ng6	2009年陳海倫、林亦《粵語平話土話方音字彙》P38		
298	悟	悟	ŋ̍22	ŋ̍22	ng6	2009年陳海倫、林亦《粵語平話土話方音字彙》P38		
299	呼	呼	hu53	hu53	hu1	2009年陳海倫、林亦《粵語平話土話方音字彙》P29		
300	虎	虎	hu33	hu33	hu2	2009年陳海倫、林亦《粵語平話土話方音字彙》P34		
301	滸	浒	hy33	hy33	hyu2	2009年陳海倫、林亦《粵語平話土話方音字彙》P34		
302	戽	戽	hu55	hu55	hu3	2009年陳海倫、林亦《粵語平話土話方音字彙》P38		
303	胡	胡	hu21	hu21	hu4	2009年陳海倫、林亦《粵語平話土話方音字彙》P30	胡人	
304	湖	湖	hu21	hu21	hu4	2009年陳海倫、林亦《粵語平話土話方音字彙》P30		
305	糊	糊	hu21	hu21	hu4	2009年陳海倫、林亦《粵語平話土話方音字彙》P30		
306	狐	狐	hu21	hu21	hu4	2009年陳海倫、林亦《粵語平話土話方音字彙》P29		
307	壺	壶	hu21	hu21	hu4	2009年陳海倫、林亦《粵語平話土話方音字彙》P30		
308	乎	乎	hu53	hu53	hu1	2009年陳海倫、林亦《粵語平話土話方音字彙》P29		
309	瓠	瓠	hu21	hu21	hu4	2009年陳海倫、林亦《粵語平話土話方音字彙》P30	葫蘆	
310	鬍	胡	hu21	hu21	hu4	2009年陳海倫、林亦《粵語平話土話方音字彙》P30	鬍鬚	
311	戶	户	∅u22	wu22	wu6	2009年陳海倫、林亦《粵語平話土話方音字彙》P34		
312	滬	沪	∅u22	wu22	wu6	2009年陳海倫、林亦《粵語平話土話方音字彙》P34		
313	互	互	∅u22	wu22	wu6	2009年陳海倫、林亦《粵語平話土話方音字彙》P38		
314	護	护	∅u22	wu22	wu6	2009年陳海倫、林亦《粵語平話土話方音字彙》P38		
315	烏	乌	∅u53	wu53	wu1	2009年陳海倫、林亦《粵語平話土話方音字彙》P30		
316	污	污	∅u53	wu53	wu1	2009年陳海倫、林亦《粵語平話土話方音字彙》P30		
317	汙	污	∅u53	wu53	wu1	2009年陳海倫、林亦《粵語平話土話方音字彙》P30		
318	惡	恶	hu55	hu55	hu3	2009年陳海倫、林亦《粵語平話土話方音字彙》P38	厭惡	
319	女	女	ny24	ny24	nyu5	2009年陳海倫、林亦《粵語平話土話方音字彙》P46		
320	廬	庐	lu21	lu21	lu4	2009年陳海倫、林亦《粵語平話土話方音字彙》P41		
321	驢	驴	ly21	ly21	lyu4	2009年陳海倫、林亦《粵語平話土話方音字彙》P41		
322	呂	吕	ly24	ly24	lyu5	2009年陳海倫、林亦《粵語平話土話方音字彙》P49		
323	旅	旅	ly24	ly24	lyu5	2009年陳海倫、林亦《粵語平話土話方音字彙》P49		
324	慮	虑	ly22	ly22	lyu6	2009年陳海倫、林亦《粵語平話土話方音字彙》P54		
325	濾	滤	ly22	ly22	lyu6	2009年陳海倫、林亦《粵語平話土話方音字彙》P53		
326	蛆	蛆	tsʰy53	tʃʰy53	cyu1	2009年陳海倫、林亦《粵語平話土話方音字彙》P39		
327	絮	絮	ɬy55	ɬy55	slyu3	2009年陳海倫、林亦《粵語平話土話方音字彙》P52		
328	徐	徐	tsy21	tʃy21	zyu4	2009年陳海倫、林亦《粵語平話土話方音字彙》P39		
329	序	序	tsy22	tʃy22	zyu6	2009年陳海倫、林亦《粵語平話土話方音字彙》P46		
330	敘	叙	tsy22	tʃy22	zyu6	2009年陳海倫、林亦《粵語平話土話方音字彙》P46		
331	敍	叙	tsy22	tʃy22	zyu6	2009年陳海倫、林亦《粵語平話土話方音字彙》P46		
332	緒	绪	tsy55	tʃy55	zyu3	2009年陳海倫、林亦《粵語平話土話方音字彙》P46		
333	豬	猪	tsy53	tʃy53	zyu1	2009年陳海倫、林亦《粵語平話土話方音字彙》P39		
334	著	著	tsy55	tʃy55	zyu3	2009年陳海倫、林亦《粵語平話土話方音字彙》P52		
335	除	除	tsy21	tʃy21	zyu4	2009年陳海倫、林亦《粵語平話土話方音字彙》P39		
336	儲	储	tsy21	tʃy21	zyu4	2009年陳海倫、林亦《粵語平話土話方音字彙》P39		
337	苧	苎	tsy24	tʃy24	zyu5	2009年陳海倫、林亦《粵語平話土話方音字彙》P47		
338	箸	箸	tsy22	tʃy22	zyu6	2009年陳海倫、林亦《粵語平話土話方音字彙》P52		
339	阻	阻	tso33	tʃo33	zo2	2009年陳海倫、林亦《粵語平話土話方音字彙》P47		
340	初	初	tsʰu53	tʃʰu53	cu1	2009年陳海倫、林亦《粵語平話土話方音字彙》P39		
341	楚	楚	tsʰu33	tʃʰu33	cu2	2009年陳海倫、林亦《粵語平話土話方音字彙》P47		
342	礎	础	tsʰu33	tʃʰu33	cu2	2009年陳海倫、林亦《粵語平話土話方音字彙》P47		
343	鋤	锄	tso21	tʃo21	zo4	2009年陳海倫、林亦《粵語平話土話方音字彙》P39		
344	助	助	tso22	tʃo22	zo6	2009年陳海倫、林亦《粵語平話土話方音字彙》P52		
345	梳	梳	su53	ʃu53	su1	2009年陳海倫、林亦《粵語平話土話方音字彙》P39		
346	疏	疏	su53	ʃu53	su1	2009年陳海倫、林亦《粵語平話土話方音字彙》P39	稀疏	
347	蔬	蔬	su53	ʃu53	su1	2009年陳海倫、林亦《粵語平話土話方音字彙》P40		
348	所	所	ɬo33	ɬo33	slo2	2009年陳海倫、林亦《粵語平話土話方音字彙》P47		
349	諸	诸	tsy53	tʃy53	zyu1	2009年陳海倫、林亦《粵語平話土話方音字彙》P40		
350	煮	煮	tsy33	tʃy33	zyu2	2009年陳海倫、林亦《粵語平話土話方音字彙》P47		
351	煑	煮	tsy33	tʃy33	zyu2	2009年陳海倫、林亦《粵語平話土話方音字彙》P47		
352	處	处	tsʰy33	tʃʰy33	cyu2	2009年陳海倫、林亦《粵語平話土話方音字彙》P47	相處	
353	杵	杵	tsʰy24	tʃʰy24	cyu5	2009年陳海倫、林亦《粵語平話土話方音字彙》P47		
354	處	处	tsʰy55	tʃʰy55	cyu3	2009年陳海倫、林亦《粵語平話土話方音字彙》P52	處所	
355	書	书	sy53	ʃy53	syu1	2009年陳海倫、林亦《粵語平話土話方音字彙》P40		
356	舒	舒	sy53	ʃy53	syu1	2009年陳海倫、林亦《粵語平話土話方音字彙》P40		
357	鼠	鼠	sy33	ʃy33	syu2	2009年陳海倫、林亦《粵語平話土話方音字彙》P48		
358	暑	暑	sy33	ʃy33	syu2	2009年陳海倫、林亦《粵語平話土話方音字彙》P47		
359	庶	庶	sy55	ʃy55	syu3	2009年陳海倫、林亦《粵語平話土話方音字彙》P53		
360	恕	恕	sy55	ʃy55	syu3	2009年陳海倫、林亦《粵語平話土話方音字彙》P52		
361	署	署	sy22	ʃy22	syu6	2009年陳海倫、林亦《粵語平話土話方音字彙》P53		
362	薯	薯	sy22	ʃy22	syu6	2009年陳海倫、林亦《粵語平話土話方音字彙》P53		
363	如	如	∅y21	jy21	jyu4	2009年陳海倫、林亦《粵語平話土話方音字彙》P41		
364	居	居	ky53	ky53	gyu1	2009年陳海倫、林亦《粵語平話土話方音字彙》P40		
365	車	车	ky53	ky53	gyu1	2009年陳海倫、林亦《粵語平話土話方音字彙》P40	車馬炮	
366	舉	举	ky33	ky33	gyu2	2009年陳海倫、林亦《粵語平話土話方音字彙》P48		
367	據	据	ky55	ky55	gyu3	2009年陳海倫、林亦《粵語平話土話方音字彙》P53	根據	
368	鋸	锯	ky55	ky55	gyu3	2009年陳海倫、林亦《粵語平話土話方音字彙》P53		
369	圩	圩	hy53	hy53	hyu1	2009年陳海倫、林亦《粵語平話土話方音字彙》P40		
370	墟	墟	hy53	hy53	hyu1	2009年陳海倫、林亦《粵語平話土話方音字彙》P40		原文作「圩」字
371	去	去	hy55	hy55	hyu3	2009年陳海倫、林亦《粵語平話土話方音字彙》P53	離去	
372	渠	渠	ky21	ky21	gyu4	2009年陳海倫、林亦《粵語平話土話方音字彙》P40		
373	佢	佢	ky21	ky21	gyu4	2009年陳海倫、林亦《粵語平話土話方音字彙》P40		
374	巨	巨	ky22	ky22	gyu6	2009年陳海倫、林亦《粵語平話土話方音字彙》P48		
375	拒	拒	ky22	ky22	gyu6	2009年陳海倫、林亦《粵語平話土話方音字彙》P48		
376	距	距	ky22	ky22	gyu6	2009年陳海倫、林亦《粵語平話土話方音字彙》P48		
377	魚	鱼	ɲy21	ȵy21	njyu4	2009年陳海倫、林亦《粵語平話土話方音字彙》P40		
378	漁	渔	ɲy21	ȵy21	njyu4	2009年陳海倫、林亦《粵語平話土話方音字彙》P41		
379	語	语	ɲy24	ȵy24	njyu5	2009年陳海倫、林亦《粵語平話土話方音字彙》P48		
380	禦	御	∅y22	jy22	jyu6	2009年陳海倫、林亦《粵語平話土話方音字彙》P48	防禦	
381	虛	虚	hy53	hy53	hyu1	2009年陳海倫、林亦《粵語平話土話方音字彙》P41		
382	噓	嘘	hy53	hy53	hyu1	2009年陳海倫、林亦《粵語平話土話方音字彙》P41		
383	許	许	hy33	hy33	hyu2	2009年陳海倫、林亦《粵語平話土話方音字彙》P48		
384	於	于	∅y53	jy53	jyu1	2009年陳海倫、林亦《粵語平話土話方音字彙》P41	介詞	
385	淤	淤	∅y53	jy53	jyu1	2009年陳海倫、林亦《粵語平話土話方音字彙》P41		
386	余	余	∅y21	jy21	jyu4	2009年陳海倫、林亦《粵語平話土話方音字彙》P41	姓	
