ID	TRAD	SIMP	IPA_S	IPA_T	JYUTPING	SOUR	EXPL	NOTE
118	查	查	tɕa41	tʃa53	zaa1	2000年李連進《平話音韻研究》P14	山查	原文誤作[tɕa21]
119	楂	楂	tɕa41	tʃa53	zaa1	2000年李連進《平話音韻研究》P14	山楂	原文作「查」字，誤作[tɕa21]
120	渣	渣	tɕa41	tʃa53	zaa1	2000年李連進《平話音韻研究》P14		原文誤作[tɕa21]
121	詐	诈	tɕa55	tʃa55	zaa3	2000年李連進《平話音韻研究》P14		原文誤作[tɕa41]
122	榨	榨	tɕa55	tʃa55	zaa3	2000年李連進《平話音韻研究》P14	榨油	原文誤作[tɕa41]
123	炸	炸	tɕa55	tʃa55	zaa3	2000年李連進《平話音韻研究》P14	炸彈	原文誤作[tɕa41]
124	叉	叉	tɕʰa41	tʃʰa53	caa1	2000年李連進《平話音韻研究》P14		
125	杈	杈	tɕʰa41	tʃʰa53	caa1	2000年李連進《平話音韻研究》P14	枝杈	
126	差	差	tɕʰa41	tʃʰa53	caa1	2000年李連進《平話音韻研究》P14，91	差別；參差	
127	查	查	tɕa21	tʃa21	zaa4	2000年李連進《平話音韻研究》P15	調查	
128	沙	沙	ɕa41	ʃa53	saa1	2000年李連進《平話音韻研究》P15		
129	紗	纱	ɕa41	ʃa53	saa1	2000年李連進《平話音韻研究》P15		
130	灑	洒	ɬa33	ɬa33	slaa2	2000年李連進《平話音韻研究》P15，66	灑水	
131	廈	厦	jia223	ja22	jaa6	2000年李連進《平話音韻研究》P15，18	偏廈；廈門	
132	家	家	ka41	ka53	gaa1	2000年李連進《平話音韻研究》P15		
133	加	加	ka41	ka53	gaa1	2000年李連進《平話音韻研究》P15		
134	痂	痂	ka41	ka53	gaa1	2000年李連進《平話音韻研究》P15		
135	嘉	嘉	ka41	ka53	gaa1	2000年李連進《平話音韻研究》P16		
136	傢	家	ka41	ka53	gaa1	2000年李連進《平話音韻研究》P16	傢俱	
137	假	假	ka33	ka33	gaa2	2000年李連進《平話音韻研究》P16	真假	
138	賈	贾	ka33	ka33	gaa2	2000年李連進《平話音韻研究》P16	姓	
139	假	假	kʰa55	kʰa55	kaa3	2000年李連進《平話音韻研究》P16	放假	
140	架	架	kʰa55	kʰa55	kaa3	2000年李連進《平話音韻研究》P16		
141	駕	驾	kʰa55	kʰa55	kaa3	2000年李連進《平話音韻研究》P16		
142	嫁	嫁	ka55	ka55	gaa3	2000年李連進《平話音韻研究》P16		
143	稼	稼	ka55	ka55	gaa3	2000年李連進《平話音韻研究》P16		
144	價	价	ka55	ka55	gaa3	2000年李連進《平話音韻研究》P16		
145	牙	牙	ȵia21	ȵa21	njaa4	2000年李連進《平話音韻研究》P17		
146	芽	芽	ȵia21	ȵa21	njaa4	2000年李連進《平話音韻研究》P17		
147	衙	衙	ȵia21	ȵa21	njaa4	2000年李連進《平話音韻研究》P17		
148	伢	伢	ȵia21	ȵa21	njaa4	2000年李連進《平話音韻研究》P17	小孩子	
149	雅	雅	jia33	ja33	jaa2	2000年李連進《平話音韻研究》P17		
150	蝦	虾	ha41	ha53	haa1	2000年李連進《平話音韻研究》P17	魚蝦	
151	𨉣	𨉣	ha41	ha53	haa1	2000年李連進《平話音韻研究》P17	𨉣腰	
152	哈	哈	ha41	ha53	haa1	2000年李連進《平話音韻研究》P17	𨉣腰	原文作「𨉣」字
153	嚇	吓	hEk2	hiɐk2	hiak6	2000年李連進《平話音韻研究》P17	嚇一跳	
154	霞	霞	ha21	ha21	haa4	2000年李連進《平話音韻研究》P18		
155	瑕	瑕	ha21	ha21	haa4	2000年李連進《平話音韻研究》P18		
156	遐	遐	ha21	ha21	haa4	2000年李連進《平話音韻研究》P18		
157	下	下	jia223	ja22	jaa6	2000年李連進《平話音韻研究》P18	底下；下降	
158	夏	夏	jia223	ja22	jaa6	2000年李連進《平話音韻研究》P18	姓；春夏	
159	鴉	鸦	a41	∅a53	aa1	2000年李連進《平話音韻研究》P19		
160	丫	丫	a41	∅a53	aa1	2000年李連進《平話音韻研究》P19	丫頭	
161	椏	桠	a41	∅a53	aa1	2000年李連進《平話音韻研究》P19	椏杈	原文誤作[ai41]，多了一個[i]
162	啞	哑	a33	∅a33	aa2	2000年李連進《平話音韻研究》P19		
163	亞	亚	a55	∅a55	aa3	2000年李連進《平話音韻研究》P19		
164	姐	姐	tɕiE33	tʃe33	ze2	2000年李連進《平話音韻研究》P19		
165	借	借	tɕi55	tʃi55	zi3	2000年李連進《平話音韻研究》P19		
166	且	且	tɕʰiE33	tʃʰe33	ce2	2000年李連進《平話音韻研究》P19		
167	藉	藉	tɕiE55	tʃe55	ze3	2000年李連進《平話音韻研究》P19	藉故	
168	些	些	ɕE41	ʃe53	se1	2000年李連進《平話音韻研究》P20		
169	寫	写	ɬiE33	ɬe33	sle2	2000年李連進《平話音韻研究》P20		
170	瀉	泻	ɬiE55	ɬe55	sle3	2000年李連進《平話音韻研究》P20		
171	卸	卸	ɬiE55	ɬe55	sle3	2000年李連進《平話音韻研究》P20		
172	邪	邪	ɬiE21	ɬe21	sle4	2000年李連進《平話音韻研究》P20		
173	斜	斜	tɕʰiE21	tʃʰe21	ce4	2000年李連進《平話音韻研究》P20		
174	謝	谢	tɕi223	tʃi22	zi6	2000年李連進《平話音韻研究》P20	姓	
175	謝	谢	tɕE223	tʃe22	ze6	2000年李連進《平話音韻研究》P20	多謝	
176	爹	爹	tE41	te53	de1	2000年李連進《平話音韻研究》P20		
177	遮	遮	tɕi41	tʃi53	zi1	2000年李連進《平話音韻研究》P20		
178	者	者	tɕiE33	tʃe33	ze2	2000年李連進《平話音韻研究》P21		
179	蔗	蔗	tɕiE55	tʃe55	ze3	2000年李連進《平話音韻研究》P21		
180	車	车	tɕʰiE41	tʃʰe53	ce1	2000年李連進《平話音韻研究》P21		
181	扯	扯	tɕʰiE33	tʃʰe33	ce2	2000年李連進《平話音韻研究》P21		
182	蛇	蛇	ɕiE21	ʃe21	se4	2000年李連進《平話音韻研究》P21		
183	射	射	ɕiE223	ʃe22	se6	2000年李連進《平話音韻研究》P21，344		
184	麝	麝	ɕiE223	ʃe22	se6	2000年李連進《平話音韻研究》P21	麝香	
185	奢	奢	tɕʰiE41	tʃʰe53	ce1	2000年李連進《平話音韻研究》P21		
186	賒	赊	ɕi55	ʃi55	si3	2000年李連進《平話音韻研究》P21		原文如此，疑誤
187	捨	舍	ɕiE33	ʃe33	se2	2000年李連進《平話音韻研究》P21	捨棄	
188	舍	舍	ɕiE33	ʃe33	se2	2000年李連進《平話音韻研究》P21	捨棄	原文作「捨」字
189	赦	赦	ɬiE55	ɬe55	sle3	2000年李連進《平話音韻研究》P22		
190	舍	舍	ɕiE55	ʃe55	se3	2000年李連進《平話音韻研究》P22	宿舍	
191	佘	佘	ɕi41	ʃi53	si1	2000年李連進《平話音韻研究》P22	姓	
192	社	社	ɕiE13	ʃe24	se5	2000年李連進《平話音韻研究》P22		
193	惹	惹	ȵiE13	ȵe24	nje5	2000年李連進《平話音韻研究》P22		
194	耶	耶	jiE21	je21	je4	2000年李連進《平話音韻研究》P22		
195	爺	爷	jiE21	je21	je4	2000年李連進《平話音韻研究》P22		
