繁體	簡體	南寧白話	又音	廣州話
羱	羱	jyun4		jyun4
羲	羲	hi1		hei1
羶	膻	saan1	(又)zin1	zin1
羸	羸	lui4		leoi4
羹	羹	gang1	(白)gaang1	gang1
羽	羽	jyu5		jyu5
羿	羿	ngai6		ngai6
翀	翀	cung1		cung1
翁	翁	jung1	(又)ung1	jung1
翂	翂	fan1		fan1
翃	翃	hung4	(又)wang4	wang4
翅	翅	ci3		ci3
翊	翊	jik6		jik6
翌	翌	jik6		jik6
翎	翎	ling4		ling4
習	习	zap6		zaap6
翔	翔	coeng4		coeng4
翕	翕	jap1	(語)jap6「翕手，招手」	jap1
翛	翛	sliu1		siu1
翟	翟	zaak6「姓」,dik6「長尾野雞」		1)zaak6:姓翟 2)dik6:長尾
翠	翠	cui3		ceoi3
翡	翡	fi2		fei2
翦	翦	zin2		zin2
翨	翨	ci3		ci3
翩	翩	pin1		pin1
翬	翚	fai1	(白)wai1	fai1
翮	翮	hat6		hat6
翯	翯	hok6		hok6
翰	翰	hon6		hon6
翱	翱	ngu4		ngou4
翳	翳	ai3「心情煩悶，又作㜇字」	(又)ngai3	ai3
翷	翷	lan4	(老派)lyun4	leon4
翹	翘	(白)heu1「翹腳」,kiu4「銀翹，翹首」	(又)keu1「翹腳」,(又)keu4「～翹keu1，死亡」	kiu4
翻	翻	faan1	(白)fen1,(語)pen1,(語)men1	faan1
翼	翼	jik6		jik6
翽	翙	wai3		wai3
翾	翾	hyun1		hyun1
耀	耀	jiu6		jiu6
老	老	lu5		lou5
考	考	haau2		haau2
耄	耄	mu6		mou6
者	者	ze2		ze2
耆	耆	ki4		kei4
耇	耇	gau2		gau2
耋	耋	dit6		dit6
而	而	ji4		ji4
耍	耍	saa2		saa2
耐	耐	noi6		noi6
耒	耒	lui6		leoi6；(又)loi6
耔	耔	zi2	(老派)zy2	zi2
耕	耕	(白)gaang1	(文)gang1	gaang1
耖	耖	caau3		caau3
耗	耗	hu3		hou3
耘	耘	wan4		wan4
耙	耙	paa4		paa4
