繁體	簡體	南寧白話	又音	廣州話
惕	惕	tik1		tik1
惗	惗	nam2「同諗字」		nam2
惘	惘	mong5		mong5
惙	惙	zyut3		zyut3
惚	惚	fat1		fat1
惜	惜	slik1	(白)slek3「儆geng6惜，疼愛」	sik1
惟	惟	wai4		wai4
惠	惠	wai6		wai6
惡	恶	wu3「可惡」,ok3「善惡」		1)ok3:惡霸、惡心 2)wu3:可惡 3)wu1:惡可乎
惦	惦	dim3		dim3
惪	惪	dak1		dak1
惰	惰	do6		do6
惱	恼	nu5		nou5
想	想	sloeng2		soeng2
惴	惴	zui3		zeoi3
惶	惶	wong4		wong4
惹	惹	je5		je5
惺	惺	sling1		sing1
惻	恻	cak1		cak1；(又)caak1
愀	愀	ciu2		ciu2
愁	愁	cau4		sau4
愆	愆	hin1		hin1
愈	愈	jyu6		jyu6
愉	愉	jyu4		jyu4
愊	愊	bik1		bik1
愍	愍	man5		man5
愎	愎	bik1		bik1
意	意	ji3		ji3
愐	愐	min5		min5
愔	愔	jam1		jam1
愕	愕	ngok6		ngok6
愚	愚	jyu4		jyu4
愛	爱	oi3		oi3
愜	惬	hip3		hip3；(又)hip6
感	感	gaam2		gam2
愠	愠	wan3		wan3
愣	愣	ling4	(又)lang4	ling6
愧	愧	kwai3		kwai5
愨	悫	kok3		kok3
愩	愩	gung1「心煩；恐懼」,hung2「心神恍惚」	(語)gung3「鑽，拱出」	gung1,hung2,gung3
愫	愫	slu3		sou3
愬	愬	slu3		sou3
愴	怆	cong3		cong3
愷	恺	hoi2	(又)koi2	hoi2
愾	忾	koi3		koi3
愿	愿	jyun6		jyun6
慄	栗	lat6	(老派)lyut6	leot6
慆	慆	tu1		tou1
慇	慇	jan1		jan1
慈	慈	ci4	(老派)cy4	ci4
態	态	taai3		taai3
慌	慌	fong1		fong1
慍	愠	wan3	(語)wat1「～氣，心中憋悶，又作殟字」	wan3
慎	慎	san6		san6
慕	慕	mu6		mou6
慘	惨	caam2		caam2
慚	惭	caam4		caam4
慝	慝	tak1	(又)tik1	tik1
慟	恸	dung6		dung6
慢	慢	maan6		maan6
慣	惯	(白)gwen3	(文)gwaan3	gwaan3
慧	慧	wai6	(又)wai3	wai6
慨	慨	koi3		koi3
慪	怄	au3		au3
慫	怂	slung2		sung2
慬	慬	kan4		kan4
慮	虑	lyu6		leoi6
慰	慰	wai3		wai3
慳	悭	haan1	(又)hen1	haan1
慵	慵	jung4		jung4
慶	庆	hing3		hing3
慷	慷	hong2	(又)kong2	hong2；(又)kong2
慼	戚	cik1		cik1
慽	戚	cik1		cik1
慾	欲	juk6		juk6
憂	忧	jau1		jau1
憊	惫	bi6	(又)baai6	bei6；(又)baai6
憋	憋	bit3		bit3
憎	憎	zang1		zang1
憐	怜	lin4		lin4
憑	凭	pang4「憑據」,bang6「倚靠，本字凭」		pang4,bang6
憓	憓	wai6		wai6
憔	憔	ciu4		ciu4
憚	惮	daan6		daan6
憝	憝	dui6		deoi6
憠	憠	kyut3	(又)gyut3	kyut3
憤	愤	fan5		fan5
憧	憧	cung1		cung1；(又)tung4
憨	憨	haam1		ham1
憩	憩	hi3		hei3
憫	悯	man5		man5
憬	憬	ging2		ging2
憮	怃	mu5		mou5
憯	憯	caam2		caam2
憲	宪	hin3		hin3
憶	忆	jik1		jik1
憸	𪫺	cim1		cim1
憺	憺	daam6		daam6
憾	憾	haam6		ham6
懂	懂	dung2		dung2
懃	懃	kan4		kan4
懇	恳	han2		han2
懈	懈	haai5		haai6
應	应	jing3「答應」,jing1「應當」		1)jing1:應當 2)jing3:答應
懊	懊	u3		ou3
懋	懋	mau6		mau6
懌	怿	jik6		jik6
懍	懔	lam5		lam5
懘	懘	cit3		cit3
懞	蒙	mung2「同懵字」,mung4「同蒙字，遮蓋」		mung5
懟	怼	dui6		deoi6
懣	懑	mun6		mun6
懥	懥	zi3		zi3
懦	懦	no6		no6
懨	恹	jim1		jim1
懫	懫	zi3		zi3
懲	惩	cing4		cing4
懵	懵	mung2		mung2；(又)mung5
懶	懒	laan5		laan5
懷	怀	waai4		waai4
懸	悬	jyun4		jyun4
懺	忏	caam3		caam3
懼	惧	gyu6		geoi6
懽	懽	fun1「同歡字」		fun1
懾	慑	sip3		sip3
懿	懿	ji3		ji3
戀	恋	lyun2		lyun2；(又)lyun5
戇	戆	(訓)ngong6「戇居」,zong3「戇直」	(語)ngang1「癡～～，瘋癲貌」,(語)ngang2「發愣」	ngong6
戈	戈	(書)gwo1	(習)go1	gwo1
戊	戊	mu6		mou6
戌	戌	slat1	(老派)slyut1	seot1
戍	戍	syu3		syu3
戎	戎	jung4		jung4
成	成	sing4「成功」	(白)seng4「成日」,(又)cing4「成數，幾成」	sing4
我	我	ngo5		ngo5
戒	戒	gaai3		gaai3
戕	戕	coeng4		coeng4
或	或	waak6		waak6
戙	戙	dung6「豎，立，摞」		dung6
戚	戚	cik1		cik1
戛	戛	gaat3		aat3；(又)gaat3
戟	戟	gik1		gik1
戡	戡	ham1		ham1
戢	戢	cap1		cap1
戣	戣	kwai4		kwai4
戤	戤	koi3		koi3
戥	戥	dang2「小秤」	(又)dang6「使平衡；替」	dang2
戩	戬	zin2		zin2
截	截	zit6		zit6
戮	戮	luk6		luk6
戰	战	zin3		zin3
戲	戏	hi3		hei3；(古)fu1於戲
戳	戳	cok3	(又)coek3	coek3；(又)cok3
戴	戴	daai3		daai3
戶	户	wu6		wu6
户	户	wu6		wu6
戺	戺	si6	(老派)sy6	si6
戽	戽	fu3		fu3
戾	戾	lui6「暴戾」	(語)lai2「睡戾頸，又作捩字」	leoi6
房	房	fong4		fong4
所	所	slo2		so2
扁	扁	(白)ben2「扁豆」,pin1「扁舟」	(文)bin2	1)bin2:扁鼻 2)pin1:扁舟
扃	扃	gwing1		gwing1
扆	扆	ji2		ji2
扇	扇	sin3「扇子」		sin3
扈	扈	wu6		wu6
扉	扉	fi1		fei1
扊	扊	jim5		jim5
手	手	sau2		sau2
才	才	coi4		coi4
扎	扎	zaat3	(又)zaap3「扎馬步」	zaat3
扑	扑	puk1	(又)pok3	pok3
扒	扒	paa4「扒手」,(外)paa2「牛扒」		paa4
打	打	daa2「打人」,(外)daa1「十二個叫一打，英語dozen譯音」		1)daa2:打人 2)daa1:十二個叫一打
扔	扔	jing4		jing4；(語)wing1
扗	扗	zoi6		zoi6
托	托	tok3		tok3
扚	扚	dik1「提」		dik1
扛	扛	kong4「扛槍」,gong1「力能扛鼎」		gong1
扠	扠	caa1		caa1
扣	扣	kau3		kau3
扤	扤	at1「用力塞」,ngaat6「碾壓；挪動；摩擦」	(又)ngat1「用力塞」,(語)nget6「擠壓；慢移；磨蹭」	ngaat6,ngat1
扦	扦	cin1		cin1
扭	扭	nau2		nau2
扮	扮	baan6		baan6；(又)baan3
扯	扯	ce2		ce2
扰	扰	jiu2		jiu2；(又)jiu5
扱	扱	kap1「蓋」,caap3「插；挹取」		caap3,kap1
扲	扲	gam6「同撳字」,ngam4「掏，又作撢字」		gam6,ngam4
扳	扳	baan2「扳手」,paan1「同攀字」	(白)maan1「又作𢺳字」	baan2；通攀
扶	扶	fu4		fu4
扷	扷	u3		ou3
批	批	pai1		pai1
扺	扺	zi2		zi2
扻	扻	ham2「磕，碰」		ham2
扼	扼	ak1	(又)ngak1	ak1
扽	扽	dan3「顛簸；震動」		dan3
找	找	zaau2	(白)zeu2「找零錢」	zaau2
承	承	sing4		sing4
技	技	gi6		gei6
抃	抃	bin6		bin6
抄	抄	(白)ceu1「抄書」,(白)ceu3「翻找，亂翻」	(文)caau1,(文)caau3	caau1
抆	抆	man2「擦拭」	(又)men2	man5
抈	抈	jyut6		jyut6
抉	抉	kyut3		kyut3
把	把	baa2「把握」		baa2
抌	抌	dam2「捶，扔」		dam2
抍	抍	sing1「摑」		sing1
抑	抑	jik1		jik1
抒	抒	syu1		syu1
抓	抓	zaa1「握，拿，又作揸字」,zaau2「搔，撓」	(白)jaa1	zaau2；(又)zaa1
抔	抔	pau4		pau4
投	投	tau4		tau4
抖	抖	dau2		dau2
抗	抗	kong3		kong3
折	折	zit3「折斷」,sit6「折本」		1)zit3:折磨 2)zip3:存折
抨	抨	ping4「抨擊」	(語)paang5「驅趕」	ping1
披	披	pi1		pei1
抬	抬	toi4		toi4
抰	抰	joeng2「抖」		joeng2
抱	抱	pu5		pou5
抴	抴	jai6	(又)jit6	jai6
抵	抵	dai2		dai2
抶	抶	cik1		cik1
抸	抸	zaap3		zaap3
抹	抹	maat3「抹布，抹乾」,mut3「抹殺，塗抹」		mut3；(語)maat3
抻	抻	can1「抻懶腰，又作伸/胂字」		can2
押	押	aap3		aat3；畫押又讀aap3
抽	抽	cau1		cau1
抿	抿	man5		man5
拂	拂	fat1「拭也，拂塵」	(白)pat1	fat1；(古)同弼
拃	拃	zaa6「掗拃，佔地、霸道」,zaa3「測長度」		zaa6,zaa3
拄	拄	zyu2	(又)cyu5	zyu2
拆	拆	caak3		caak3
拇	拇	mu5		mou5
拈	拈	(白)nem1	(文)nim1	nim1
拉	拉	laai1	(語)laap3「包攬，又作擸字」	laai1
拊	拊	fu2		fu2
拋	抛	paau1	(白)peu1	paau1
拌	拌	bun6		pun3
拍	拍	paak3		paak3
拎	拎	(習)ning1	(書)ling1	ling1
拏	拏	naa4		naa4
拐	拐	gwaai2		gwaai2
拒	拒	kyu5	(又)gyu6	keoi5
拓	拓	tok3「拓展」,taap3「拓本，同搨字」		1)tok3:開拓 2)taap3:拓本
拔	拔	baat6	(白)bet6	bat6
拖	拖	to1		to1
拗	拗	(白)eu2「拗斷」,(白)eu3「拗頸，頂嘴，又作詏字」	(文)aau2,(文)aau3	1)aau2:拗斷 2)aau3:拗口令
拘	拘	kyu1		keoi1
拙	拙	zyut3		zyut3
拚	拚	pun3		pun3
招	招	ziu1		ziu1
拜	拜	baai3		baai3
拤	拤	kaa1「用兩手掐住」		kaa1
拫	拫	han4	(語)hang4「緊；快」	han4,hang4
括	括	gwaat3	(白)gwet3	1)kut3:括號 2)gwaat3:搜括
拭	拭	sik1		sik1
拮	拮	git3		git3
拯	拯	zing2		cing2
拱	拱	gung2		gung2
拳	拳	kyun4		kyun4
拴	拴	saan1		saan1
拶	拶	zaat3		zaat3
拷	拷	haau2		haau1；(又)haau2
拼	拼	ping3		ping1；(又)ping3
拽	拽	jai6	(又)jit6	jai6
拾	拾	sap6		sap6
拿	拿	naa4		naa4
持	持	ci4		ci4
挂	挂	gwaa3		gwaa3
指	指	zi2		zi2
挈	挈	kit3	(語)hit3	kit3
按	按	on3		on3
挎	挎	kwaa3		kwaa3
挐	挐	naa4「同拏字」,jyu4「牽引；連續；亂」		naa4,jyu4
挑	挑	tiu1		1)tiu1:挑水，挑戰 2)tou1:挑達
挓	挓	zaa1		zaa1
挖	挖	(白)wet3	(文)waat3	waat3
挘	挘	lyut3		lyut3
挨	挨	aai1「挨近」,ngaai4「挨打，同捱字」		aai1；同捱
挩	捝	tyut3「解脫；遺漏」,sui3「擦拭」		seoi3,tyut3
挪	挪	no4		no4
挫	挫	co3		co3
挭	挭	gaang3「攪拌；撈」		gaang3
振	振	zan3		zan3
挲	挲	saa1「挓挲」,slo1「摩挲」		saa1,so1
挹	挹	jap1「用手指撮」		jap1
挺	挺	(書)ting5	(習)ting2	ting5
挼	挼	no1「搓，又作捼字」		no4
挽	挽	waan5	(白)wen5	waan5
挾	挟	hip3「挾持」,(白)gep3「挾菜」	(文)gaap3「挾帶」	hip3；(又)hip6
捂	捂	ng6	(又)wu2	wu2
捃	捃	kwan2	(又)gwan3	kwan2,gwan3
捅	捅	tung2	(白)dung2	tung2
捆	捆	kwan2		kwan2
捉	捉	zok3		zuk1
捋	捋	lyut3	(語)lyut1「滑捋捋」	lyut3
捌	捌	(白)bet3	(文)baat3	baat3
捍	捍	hon6		hon6
捎	捎	saau1	(語)slaau4「吃掉；揍；又作𢶠字」	saau1
捏	捏	(白)net6	(文)nip6	nip6
捐	捐	gyun1		gyun1
捕	捕	pu2	(又)bu6	bou6
捝	捝	tyut3「解脫；遺漏」,sui3「擦拭」		seoi3,tyut3
捧	捧	pung2	(白)bung2	pung2；(又)bung2
捨	舍	se2		se2
捩	捩	lai6「琵琶撥法」,lit6「轉捩點」	(語)lai2「睡捩頸，又作戾字」	lit6
捫	扪	mun4		mun4
捭	捭	baai2		baai2
据	据	gyu3「同據字」,gyu1「拮据」		geoi1,geoi3
捱	挨	ngaai4		ngaai4
捲	卷	gyun2		gyun2
捵	捵	tin2「推，頂」,can1「同抻字」	(又)din2「掙扎」	can2,din2
捶	捶	cui4		ceoi4
捷	捷	zit6		zit6
捹	捹	fing6「甩，又作揈字」		fing6
捺	捺	naat6	(又)naat3	naat6
捻	捻	(書)nip6「以指捻物」	(白)nen2「以指捻碎」,(文)nin2「以指捻碎」	nin2；(又)nim2 (語)nan2
捼	捼	no1「搓，又作挼字」		no4
捽	捽	zat1「搓」	(又)zyut1	zeot1
掀	掀	hin1		hin1
掂	掂	dim1「掂量」	(語)dim6「妥當；直」,(語)dim3「碰」	dim1
掃	扫	slu3		sou3
掄	抡	lan4	(老派)lyun4	leon4
掅	掅	cing3「提」		cing3
掆	㧏	gong1「擡，扛」		gong1
掇	掇	zyut3	(又)dyut3	zyut3
授	授	sau6		sau6
掉	掉	diu6	(白)deu6「丟棄」	diu6
掊	掊	pau2「掊擊」,pau4「聚斂」		pau2,pau4
掌	掌	zoeng2		zoeng2
掎	掎	gi2		gei2
掏	掏	tu4		tou4
掐	掐	haap3		haap3
排	排	paai4		paai4
掖	掖	jik6		jik6
掗	挜	ngaa6「掗拃，佔地、霸道」,aa3「掗賈」		aa3,ngaa6
掘	掘	gwat6		gwat6
掙	挣	zaang1	(又)zang1	1)zang1:掙扎 2)zaang6:掙錢
掛	挂	gwaa3		gwaa3
掝	掝	waak6「裂開」,(書)kwik1「破裂聲」	(語)wak6「揮動」,(習)kik1「破裂聲」	waak6,kwik1
掞	掞	sim3「舒展；鋪張」,jim5「光照；美豔」		sim3,jim5
掟	掟	deng3「擲，扔」		deng3
掠	掠	loek6		loek6
採	采	coi2		coi2
探	探	taam3	(語)tam3「探落衫袋，放進衣袋」	taam3
掣	掣	zai3	(又)cit3	zai3；風馳電掣又讀cit3
接	接	zip3		zip3
控	控	hung3	(又)kung3	hung3
推	推	tui1		teoi1
掩	掩	jim2		jim2
措	措	co3		cou3
掫	掫	zau1	(白)jau1,(又)cau1	zau1
掬	掬	guk1		guk1
掭	掭	tim2「掭筆」		tim3
掮	掮	kin4		kin4
掯	掯	kang3「菸、酒味道濃烈；有本事」		kang3
掰	掰	baai1	(又)maak3「同擘字」,(又)mik1「同擘字」	baai1
掱	掱	paa4		paa4
掹	掹	mang1「拉，扯」		mang1,mang3
掽	掽	pung3		pung3
掾	掾	jyun6		jyun6
揀	拣	(白)gen2	(文)gaan2	gaan2
揄	揄	jyu4		jyu4
揅	揅	jin4		jin4
揆	揆	kwai4	(又)kwai5	kwai4；(又)kwai5
揇	揇	naam5	(語)naam3「拃；測長度」	naam5
揈	揈	gwang1「驅趕」,fang4「甩」	(又)kwang1「驅趕」,(又)fing6「甩，又作捹字」	fang4,gwang1
揉	揉	jau4		jau4
揌	揌	slak1		sak1
揍	揍	zau3		zau3
揎	揎	slyun1		syun1
描	描	miu4		miu4
提	提	tai4		tai4
插	插	(白)cep3	(文)caap3	caap3
揕	揕	zam3		zam3
揖	揖	jap1		jap1
揗	揗	tan4「發抖；走動」		tan4
揚	扬	joeng4		joeng4
換	换	wun6		wun6
揞	揞	am2「用手捂」		am2
握	握	ak1	(又)ngak1	ak1
揢	揢	haak3「以手把着」,kik1「阻礙，絆」	(語)kak1「卡；坎」	kik1,kaa1
揣	揣	cui2	(又)cyun2	cyun2；(又)ceoi2
揤	揤	zat1		zat1,zeot1
揦	揦	laa2「抓，攬」		laa2
揩	揩	haai1「揩油」		haai1
揪	揪	zau1		zau1
揫	揫	zau1		zau1
揭	揭	kit3		kit3
揮	挥	(白)wai1	(文)fai1	fai1
揰	揰	cung3		cung3
援	援	jyun4	(又)wun4	wun4或jyun4
揵	揵	kin4「掮扛」,gin6「同楗字」		gin6,kin4
揶	揶	je4		je4
揸	揸	zaa1「握，拿」	(白)jaa1	zaa1
揹	揹	bui3「揹黑鍋」		bui3
揼	揼	dam1「磨蹭」,dam2「扔，又作抌字」		dam2,dam1
揾	揾	wan2「找」		wan3,wan2
搇	搇	gam6「同撳字」,kam2「蓋；摑」		gam6,kam2
搉	搉	kok3	(語)kok1「敲」	kok3
搊	搊	cau1	(白)jau1	cau1
搋	搋	caai1「搋麪」		caai1
搌	搌	zin2		zin2
損	损	slyun2		syun2
搏	搏	bok3		bok3
搐	搐	cuk1		cuk1
搓	搓	co1		co1
搔	搔	slu1		sou1
搕	搕	ap1「捂，敷，又作罯字」,hap6「敲擊；取」		ap1,hap6
搖	摇	jiu4		jiu4
搗	捣	du2		dou2
搚	搚	lap6	(又)hip6	lap6,hip6
搛	搛	gim1		gim1
搜	搜	slau2「搜查」		sau2；(又)sau1
搞	搞	gaau2		gaau2
搠	搠	slok3	(又)sok3	sok3
搡	搡	slong2		song2
搣	搣	mit1「撕，掰」		mit1
搤	搤	ak1「同扼字」	(又)ngak1	ak1,ngak1
搦	搦	nik1「拿」		nik1
搧	搧	sin1		sin3
搨	搨	taap3「搨本，又作拓字」		taap3
搩	搩	kit3	(語)gat6「擡，扛，本字揭，又作𢷒字」	kit3
搪	搪	tong4	(語)tong5「搪瓷」	tong4
搬	搬	bun1		bun1
搭	搭	daap3		daap3
搯	搯	tu1「掏，挖取」		tou1
搰	搰	wat6「晃動」		wat6
搲	搲	(白)we2「撓，抓」	(文)waa2	waa2,we2
搴	搴	hin1	(語)kin2「揭開，又作㨴字」	hin1
搵	揾	wan2「找」,wan3「用手指按」		wan3,wan2
搶	抢	coeng2		coeng2
搽	搽	caa4		caa4
搾	搾	zaa3		zaa3
摀	摀	ng6	(又)wu2	wu2
摁	摁	on3		on3
摃	摃	gong1		gong1
摋	𢫬	slaat3		saat3
摎	摎	gau1「摎蓼」,lau4「姓」	(語)laau2「摎攪gaau6，胡搞」	gau1,lau4
摑	掴	gwaak3		gwaak3
摒	摒	bing3		bing3
摔	摔	slat1	(又)soi1	seot1
摘	摘	zaak6		zaak6
摙	摙	lin5「收拾；搬運」		lin5
摛	摛	ci1		ci1
摜	掼	gwaan3	(語)kwaang3「扔」	gwaan3
摝	摝	luk1		luk1
摞	摞	lo3	(又)lo4	lo3,lo4
摟	搂	lau2「摟抱」,lau1「邀請；挑逗；搜刮；披；（蒼蠅等）趴」		lau5
摠	摠	zung2		zung2
摣	揸	zaa1「同揸字」	(白)jaa1	zaa1
摥	摥	tong3「順着推拉」		tong3
摧	摧	cui1		ceoi1
摩	摩	mo1		mo1
摭	摭	zek3		zek3
摮	摮	ngu4		ngou4
摯	挚	zi3		zi3
摱	摱	maan1		maan1
摳	抠	kau1「挖；搬」		kau1
摴	摴	syu1		syu1
摵	摵	cik1「提」		cik1
摶	抟	tyun4		tyun4
摷	摷	ziu6「痛打」		ziu6
摸	摸	mo1「撫摸」,mok3「約摸，又作約莫」		mo2；同摹；摸棱同模棱
摹	摹	mo1「摹仿，又作模仿」,mo4「臨摹」		mou4
摺	折	zip3「摺疊，存摺」		zip3
摻	掺	cam1「摻雜」		caam1,saam1,cam1
摼	摼	hang1「敲打」		hang1
撅	撅	kyut3	(語)goe1「～屎窟，撅屁股，又作啹字」	kyut3
撇	撇	pit3		pit3
撈	捞	(白)lu1「攪拌」,(白)laau1「撈籬li1」,(白)leu1「探取」	(文)laau4「打撈」,(又)leu4	1)laau4:打撈 2)lou1:撈本兒
撉	撉	dan1「击，以拳触人；猛地放下」	(又)dan3「猛地放下，同蹾字」	dan3,deon1
撍	撍	cim4「拔，抽，又作撏字」		cim4
撏	挦	cam4「扯，撏綿扯絮」,cim4「拔，抽，又作撍字」		cam4,cim4
撐	撑	caang1		caang1
撒	撒	slaat3		saat3
撓	挠	naau4	(語)jaau1「抓撓」	naau4；(又)naau5
撕	撕	si1	(老派)sy1	si1
撘	撘	daap3「同搭字」	(語)dap6「捶打，又作𢱕字」	daap3
撙	撙	zyun2		zyun2
撚	撚	(白)nen2「以指捻碎」	(文)nin2「以指捻碎」,(語)nan2「作弄」	nin2；(語)nan2
撜	撜	zing2		caang4,cing2
撝	㧑	fai1	(白)wai1	fai1
撞	撞	zong6		zong6
撟	挢	giu2「擦拭」		giu2
撠	撠	gik1		gik1
撢	撢	daan2「同撣字」,ngam4「掏，又作扲字」,taam3「同探字」	(又)jam4「探取，掏」	daan6
撣	掸	daan2		daan6,sin6
撤	撤	cit3		cit3
撥	拨	but6「撥開」	(語)put3「搧」	but6,put3
撦	撦	ce2		ce2
撩	撩	liu4「撩動」	(白)leu1「挑逗」,(語)leu2「捲起」	liu4
撫	抚	fu2		fu2
撬	撬	(白)geu6「撬開」	(文)giu6,(又)keu3「亂翻」	giu6
播	播	bo3		bo3
撮	撮	cyut3	(又)zyut3	cyut3
撰	撰	(習)zyun6	(書)zaan6	zaan6
撲	扑	puk1	(又)pok3	pok3
撳	揿	gam6「按」		gam6
撴	撴	dan1「揪，拽」		deon1
撻	挞	taat3		taat3
撼	撼	haam6	(又)hon6	ham6
撾	挝	zaa1「敲，打」,wo1「老撾」		zaa1,wo1
撿	捡	gim2		gim2
擀	擀	gon2		gon2
擁	拥	jung2「擁有」	(白)ung2「推，又作㧬字」	jung2
擂	擂	lui4		leoi4
擃	擃	nong2「同攮字」	(語)nung2「捅，又作攮/搑字」	nong5
擄	掳	lu5		lou5
擅	擅	sin6		sin6
擇	择	zaak6		zaak6
擉	擉	cuk1	(語)cok3「～人，用肘部擊人」	cok3,zuk1,cuk1
擊	击	gik1		gik1
擋	挡	dong2		1)dong2:阻擋 2)dong3:摒擋
操	操	cu1		1)cou1:操戈 2)cou3:操守
擎	擎	king4		king4
擏	擏	king4「同擎/檠字」,geng6「動作輕」		king4,geng6
擒	擒	kam4		kam4
擓	㧟	kwaai5「舀，又作㨤字」		kwaai5
擔	担	daam3「擔子」,daam1「擔任；叼，本字鵮」		1)daam1:擔水 2)daam3:重擔
擖	擖	gaat3「刮聲；斬斷」,jip6「箕舌」,kaat3「刮；撻」		gaat3,kaat3,jip6
擗	擗	pik1	(語)pek6「扔」	pek6,pik1
擘	擘	(訓)maak3「掰」	(又)mik1	maak3
擙	擙	u1「夠到」		ou1
據	据	gyu3		geoi3
擝	擝	mang1「同掹字」		mang1
擠	挤	zai1「擠迫；放置」	(語)zi1「擁擠」	zai1
擡	抬	toi4		toi4
擢	擢	zok6		zok6
擤	擤	slang3		sang3
擥	擥	(習)laam2	(書)laam5	laam5
擦	擦	caat3		caat3
擩	擩	jyu5		jyu5
擪	擪	(白)jep3「～衫袖，捲起衣袖，又作擫字」	(文)jip3	jip3
擫	𢬍	(白)jep3「～衫袖，捲起衣袖，又作擪字」	(文)jip3	jip3
擬	拟	ni5		ji5
擯	摈	ban3		ban3
擰	拧	(白)ning1「拿」,ning6「擰轉；倔強」		ning6；(又)ning4
擱	搁	kok3		gok3
擲	掷	zaak6	(又)zik1,(語)zaai6	zaak6
擳	擳	zit1「擠；胳肢」	(白)zet1	zit3
擴	扩	(書)kwok3	(習)kok3,(又)kwong3,(又)kong3	kwok3；(又)kong3
擸	擸	laap3「攬取」,lip6「理鬚髮」,laap6「擸𢶍，又作垃圾」		laap3
擺	摆	baai2		baai2
擻	擞	slau2		sau2
擼	撸	lu5		lou5
擾	扰	jiu2		jiu2；(又)jiu5
擿	擿	zaak6「同擲字」,tik1「挑出；揭露」		zaak6,tik1
攀	攀	paan1		paan1
攃	攃	caat3「摩擦」,saat3「同撒字」		caat3,saat3
攄	摅	syu1		syu1
攆	撵	(習)nen2	(書)lin5	lin5
攋	攋	laai6「攋尿，尿褲子」	(又)laai5	laai6
攏	拢	lung5		lung5
攔	拦	laan4		laan4
攖	撄	jing1		jing1
攘	攘	joeng6		1)joeng4:攘除 2)joeng6:擾攘
攙	搀	caam1	(又)caam4「刺入，又作鑱/劖字」,(又)cem4「刺入，又作鑱/劖字」	caam1
攜	携	kwai4		kwai4
攝	摄	sip3		sip3
攞	攞	lo2「拿，取」		lo2
攢	攒	zan2「積攢」,cyun4「攢聚」	(又)zaan2	zaan2,cyun4
攣	挛	(書)lyun4「痙攣」	(習)lyun1「鑽入；頭髮捲曲」	lyun4
攤	摊	taan1		taan1
攥	攥	zaan6		zaan6
攩	攩	dong2「同擋字」		dong2
攪	搅	(白)geu2	(文)gaau2,(語)gaau6「摎laau2攪，胡搞」	gaau2
攫	攫	kok3		fok3
攬	揽	(習)laam2	(書)laam5	laam5
攮	攮	nong2	(語)nung2「捅，又作擃/搑字」	nong5
支	支	zi1		zi1
攰	攰	gui6「累，又作癐/䠩字」		gui6
攲	攲	ki1		kei1
收	收	sau1		sau1
攷	攷	haau2「同考字」		haau2
攸	攸	jau4	(又)jau1	jau4
改	改	goi2		goi2
攻	攻	gung1		gung1
放	放	fong3		fong3
政	政	zing3		zing3
敁	敁	dim1		dim1
故	故	gu3		gu3
敆	敆	gap3「佮份，湊份子，又作佮字」		gap3
效	效	haau6		haau6
敍	敍	zyu6		zeoi6
敏	敏	man5		man5
救	救	gau3		gau3
敓	敚	dyut6		dyut6
敔	敔	jyu5		jyu5
敕	敕	cik1		cik1
敖	敖	ngu4		ngou4
敗	败	baai6		baai6
敘	叙	zyu6		zeoi6
教	教	(白)geu3	(文)gaau3	gaau3
敚	敚	dyut6		dyut6
敝	敝	(書)bai6	(習)bi6	bai6
敞	敞	cong2		cong2
敢	敢	gaam2		gam2
散	散	slaan3「解散」,slaan2「鬆散」		1)saan3:散步 2)saan2:散文
敦	敦	dan1		deon1
敨	敨	tau2「休息，又作敨字」		dau2
敬	敬	ging3		ging3
敲	敲	haau1	(白)heu1	haau1
整	整	zing2		zing2
敵	敌	dik6		dik6
敶	敶	zan6		zan6
敷	敷	fu1		fu1
數	数	(名)su3「數目」,(動)su2「數一數」		1)sou3:數目 2)sou2:數算 3)sok3:數見不鮮
敹	敹	liu4		liu4
敺	敺	kyu1		keoi1
斂	敛	lim5	(舊)lim2	lim5；(又)lim6
斃	毙	(書)bai6	(習)bi6	bai6
文	文	man4「文化」	(語)man1「一文銀」	man4；文過飾非又讀man6
斌	斌	ban1		ban1
斐	斐	fi2		fei2
斑	斑	baan1		baan1
斕	斓	laan4		laan4
斗	斗	dau2		dau2；同鬥，斗爭
料	料	liu6「預料」	(白)liu2「材料」	liu6
斛	斛	huk6		huk6
斜	斜	ce4	(語)sle4「乜me4～，醉態」	ce4
斝	斝	gaa2		gaa2
斟	斟	zam1		zam1
斡	斡	waat3		waat3；(少數民族名)wo1達斡爾
斤	斤	gan1		gan1
斥	斥	cik1		cik1
斧	斧	fu2		fu2
斫	斫	zoek3	(又)doek3,(又)doek1	zoek3
斬	斩	(白)zem2	(文)zaam2	zaam2
斮	斮	zoek3	(又)doek3	zoek3,doek3
斯	斯	si1	(老派)sy1	si1
新	新	slan1		san1
斲	斫	doek3	(又)doek1	doek3
斶	斶	cuk1		cuk1
斷	断	(白)tyun5「折斷」,dyun3「斷定」	(文)dyun6「斷絕」	1)dyun6:斷絕 2)dyun3:判斷；(語)tyun5折斷
方	方	fong1		fong1
於	于	jyu1「於是」		jyu1；(古)wu1於戲
施	施	si1		si1；(古)ji6義於子孫
旁	旁	pong4		pong4；(古)同傍bong6
旂	旗	ki4		kei4
旃	旃	zin1		zin1
旄	旄	mu4		mou4
旅	旅	lyu5		leoi5
旆	旆	pui3		pui3
旋	旋	slyun4「旋轉」	(又)syun4,(語)zyun6「發旋」	syun4
旌	旌	zing1	(又)sing1	zing1；(又)sing1
